t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772430159.182368279,0.015879000,0.006947000,0.070976000,-0.004752130,0.005535770,-0.029917190,0.999525750,-0.009832000,0.010782000,-0.059898000,0.000112665,-0.000749263,0.001670456,-0.003198355,0.020384297,0.019328996,0.000159077,-0.003589809,0.999006324,-0.000683016,-0.000550771,-0.000285924,0.000000000,0.000000000,0.000000000,0.000000000,0.016025904,0.007046583,0.070960545,0.007497142,0.005432070,-0.001596096,0.002256685,-0.000045652,-0.001041259,-0.248264318,-0.113974872,-2.717199581,-0.002142319,0.001045705,-0.023707573,0.999715371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.717587471,0.000000000,4.172875845
1772430159.192368031,0.015865000,0.006950000,0.070976000,-0.004709020,0.005776830,-0.029829010,0.999527230,-0.009759000,0.011268000,-0.059724000,0.000051476,-0.000244250,0.000782810,0.006537651,0.025062039,0.006801686,-0.001688785,-0.002889043,0.998971544,0.003805854,-0.000752451,0.000601212,0.000000000,0.000000000,0.000000000,0.000000000,0.015986654,0.007026527,0.070960401,0.007398952,0.005295331,-0.001622981,0.001095580,0.001351043,-0.001282988,-0.248412111,-0.113473888,-2.720232896,-0.002143684,0.001041421,-0.023734045,0.999713994,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.720708962,0.000000000,4.173390325
1772430159.202368498,0.015881000,0.006936000,0.070994000,-0.004674110,0.005877300,-0.029832330,0.999526710,-0.009695000,0.011470000,-0.059731000,0.000035975,0.000012277,0.000242366,0.009526190,0.016241933,-0.001014968,-0.001161890,-0.002637904,0.998484718,0.001318004,-0.000905480,0.001475804,0.000000000,0.000000000,0.000000000,0.000000000,0.015974012,0.007021557,0.070956630,0.007255630,0.005281058,-0.001676620,0.000673123,0.001627150,-0.001397991,-0.248037632,-0.111855397,-2.724290643,-0.002140716,0.001027300,-0.023769478,0.999713540,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.724815643,0.000000000,4.173904841
1772430159.212368488,0.015882000,0.006947000,0.070996000,-0.004664100,0.005628240,-0.029875540,0.999526900,-0.009661000,0.010973000,-0.059815000,0.000050777,0.000083256,-0.000029895,0.007607666,-0.000501789,-0.005125834,-0.000361481,-0.002454808,0.999256645,-0.002002218,-0.001044604,0.001830288,0.000000000,0.000000000,0.000000000,0.000000000,0.016016790,0.007050108,0.070949187,0.007279797,0.005374909,-0.001752070,0.002250584,0.001247766,-0.001397743,-0.246244755,-0.112096968,-2.728149448,-0.002124990,0.001029107,-0.023803158,0.999713051,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.728624267,0.000000000,4.174419333
1772430159.222368479,0.015880000,0.006943000,0.070986000,-0.004617050,0.005848040,-0.029887170,0.999525510,-0.009580000,0.011415000,-0.059840000,0.000080497,0.000031624,-0.000112995,0.002630217,-0.019596767,-0.006525265,-0.000222337,-0.001949075,1.000469098,-0.000475002,-0.001224663,0.002700742,0.000000000,0.000000000,0.000000000,0.000000000,0.016019519,0.007046102,0.070954733,0.007305279,0.005370662,-0.001744701,0.001476079,0.001864322,0.000513794,-0.245842261,-0.112760159,-2.731572834,-0.002121310,0.001034873,-0.023833015,0.999712351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.731974836,0.000000000,4.174933825
1772430159.232369184,0.015870000,0.006945000,0.070987000,-0.004598100,0.005751750,-0.029892230,0.999526000,-0.009536000,0.011223000,-0.059849000,0.000109751,-0.000079682,-0.000085956,-0.003566974,-0.035469161,-0.006219762,0.002123213,-0.000833609,0.999764977,0.004198879,-0.003987355,0.000320748,0.000000000,0.000000000,0.000000000,0.000000000,0.016021781,0.007048404,0.070959112,0.007302552,0.005421980,-0.001618746,0.003605080,0.003198141,0.000343194,-0.245584046,-0.113407659,-2.734270669,-0.002118898,0.001040517,-0.023856540,0.999711745,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.734551650,0.000000000,4.175366402
1772430159.242369652,0.015877000,0.006942000,0.070992000,-0.004659590,0.005358840,-0.029933740,0.999526660,-0.009636000,0.010434000,-0.059928000,-0.000009130,-0.000091045,-0.000226748,-0.007626702,-0.027899978,-0.006584065,-0.000107453,-0.003063958,0.999797886,-0.003656344,0.002614118,0.000598557,0.000000000,0.000000000,0.000000000,0.000000000,0.016020675,0.007049713,0.070958633,0.007396497,0.005476387,-0.001565224,0.002273104,0.001103489,-0.000078940,-0.244599332,-0.112693956,-2.737280517,-0.002110429,0.001034141,-0.023882820,0.999711191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.737835650,0.000000000,4.175366402
1772430159.252369881,0.015888000,0.006941000,0.070981000,-0.004707450,0.005363770,-0.029986870,0.999524820,-0.009733000,0.010440000,-0.060035000,0.000108722,-0.000169017,-0.000163850,-0.009298541,-0.017104219,-0.005300808,-0.000180002,-0.002956947,0.997918600,0.003658177,-0.000621178,0.000143816,0.000000000,0.000000000,0.000000000,0.000000000,0.016019382,0.007050846,0.070957814,0.007496794,0.005526463,-0.001526294,0.002200480,0.000550659,-0.002462664,-0.244092470,-0.111161002,-2.740888782,-0.002106294,0.001020729,-0.023914333,0.999710432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.741323575,0.000000000,4.175366402
1772430159.262370348,0.015876000,0.006940000,0.070991000,-0.004790740,0.005077870,-0.029968340,0.999526470,-0.009882000,0.009864000,-0.059996000,0.000165676,-0.000047028,-0.000121212,-0.008149135,-0.003296710,-0.006317006,0.000518778,-0.003086919,0.999988518,0.000667266,0.004288123,0.002495692,0.000000000,0.000000000,0.000000000,0.000000000,0.016016614,0.007045934,0.070960606,0.007519777,0.005442009,-0.001683088,0.002807438,0.001156430,0.000303860,-0.244316843,-0.110410348,-2.744755659,-0.002108374,0.001014298,-0.023948080,0.999709707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.745300322,0.000000000,4.175366402
1772430159.272370338,0.015885000,0.006936000,0.070986000,-0.004823710,0.005195200,-0.030029440,0.999523870,-0.009956000,0.010096000,-0.060120000,-0.000031274,0.000129196,-0.000123757,-0.003856579,0.018066218,-0.006161015,0.000399219,-0.003753515,0.998404414,0.003702535,0.000484774,0.000514851,0.000000000,0.000000000,0.000000000,0.000000000,0.015956347,0.006996546,0.070972216,0.007435105,0.005259041,-0.001546339,0.001994572,0.000696751,-0.001386543,-0.244375084,-0.110671431,-2.747870289,-0.002108800,0.001016645,-0.023975246,0.999708969,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.748145849,0.000000000,4.175366402
