t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772429894.780505180,0.016820000,0.004783000,0.053758000,-0.002014640,-0.001761460,-0.005921240,0.999978890,-0.004008000,-0.003547000,-0.011835000,-0.001315969,0.001939648,-0.000855187,0.000293152,-0.057348850,0.010685278,0.009142081,0.001062349,1.000253525,-0.001335341,0.002114452,0.000910698,0.000000000,0.000000000,0.000000000,0.000000000,0.016926381,0.004833420,0.053760169,0.009092589,0.002137655,0.001072707,0.002951596,0.000032556,-0.000647237,-0.058430308,0.400659221,-0.426520004,-0.000522907,-0.003494485,-0.003723836,0.999985539,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.426520828,0.000000000,4.175366402
1772429894.790504694,0.016805000,0.004801000,0.053747000,-0.002005740,-0.001899240,-0.005866720,0.999978980,-0.003989000,-0.003822000,-0.011726000,-0.000603497,0.000846640,-0.000452273,0.002035618,-0.019935621,0.002129413,0.009716253,0.000853041,1.000531373,-0.001152433,0.000413103,0.000496392,0.000000000,0.000000000,0.000000000,0.000000000,0.016885411,0.004817328,0.053756707,0.008331996,0.001879852,0.000782562,0.004855604,0.001602937,-0.000866922,-0.054434100,0.414620454,-0.426511424,-0.000488487,-0.003616448,-0.003723695,0.999985337,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.426509887,0.000000000,4.175366402
1772429894.800505638,0.016804000,0.004805000,0.053750000,-0.001978750,-0.002004910,-0.005822160,0.999979080,-0.003934000,-0.004033000,-0.011637000,-0.000153264,0.000191978,-0.000224534,0.002375248,0.001436463,-0.002109762,0.010309669,0.000626658,1.000781594,-0.001002773,-0.001296099,0.000107947,0.000000000,0.000000000,0.000000000,0.000000000,0.016922518,0.004826710,0.053755425,0.008691848,0.002088596,0.000793698,0.003356663,0.001643279,0.001075606,-0.053590119,0.416637376,-0.425562674,-0.000481158,-0.003634081,-0.003715399,0.999985368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.425706381,0.000000000,4.175366402
1772429894.810505629,0.016810000,0.004798000,0.053748000,-0.001984000,-0.002013710,-0.005967180,0.999978200,-0.003944000,-0.004051000,-0.011926000,0.000087879,-0.000124340,-0.000122319,0.001704474,0.010185717,-0.003124046,0.012041903,-0.000612832,0.999387390,-0.002830878,-0.003457434,0.001260187,0.000000000,0.000000000,0.000000000,0.000000000,0.016947883,0.004836547,0.053755479,0.008949937,0.002183656,0.000814238,0.004868999,0.000107777,-0.000408580,-0.054681301,0.417062232,-0.425155642,-0.000490681,-0.003637754,-0.003711883,0.999985397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.425166820,0.000000000,4.175366402
1772429894.820506096,0.016813000,0.004797000,0.053745000,-0.002021030,-0.001886880,-0.005891530,0.999978820,-0.004020000,-0.003797000,-0.011776000,0.000173077,-0.000202312,-0.000095979,0.000421722,0.009729018,-0.002005668,0.011913119,0.000767022,1.000806742,0.000552565,0.004527798,0.001370455,0.000000000,0.000000000,0.000000000,0.000000000,0.016967381,0.004839260,0.053758820,0.009256426,0.002217794,0.000801953,0.004681192,0.001075022,0.000750967,-0.056098612,0.418378054,-0.424429327,-0.000503068,-0.003649194,-0.003705595,0.999985366,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.424536861,0.000000000,4.175366402
1772429894.830506086,0.016800000,0.004807000,0.053736000,-0.001974900,-0.001704240,-0.005956840,0.999978860,-0.003929000,-0.003432000,-0.011907000,0.000155478,-0.000141939,-0.000095863,-0.001081715,0.003484250,0.000150845,0.010068265,0.000202138,1.001549836,-0.004141383,0.001020136,-0.002272080,0.000000000,0.000000000,0.000000000,0.000000000,0.016983830,0.004839953,0.053759471,0.009433454,0.002316515,0.000889556,0.003242956,0.001913715,0.001466888,-0.056331714,0.417231138,-0.423277402,-0.000505029,-0.003639183,-0.003695545,0.999985405,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.423406510,0.000000000,4.175366402
1772429894.840505838,0.016802000,0.004799000,0.053747000,-0.001928120,-0.001885700,-0.005848910,0.999979260,-0.003834000,-0.003794000,-0.011691000,0.000113928,-0.000172572,0.000086364,-0.002045912,-0.002811381,0.001027627,0.009933083,0.001589039,1.000297226,-0.002073810,-0.002031339,-0.003705992,0.000000000,0.000000000,0.000000000,0.000000000,0.016987569,0.004841737,0.053761437,0.009410623,0.002502927,0.000984048,0.002762902,0.002374989,0.000280766,-0.057496191,0.416043704,-0.423201338,-0.000515150,-0.003628784,-0.003694913,0.999985456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.423140942,0.000000000,4.175366402
1772429894.850506306,0.016816000,0.004797000,0.053745000,-0.002025080,-0.002053360,-0.005863460,0.999978650,-0.004026000,-0.004130000,-0.011719000,0.000000816,-0.000071096,0.000157304,-0.001926880,-0.005205810,0.003002537,0.010580393,0.000367460,0.998822184,-0.002407075,0.000993395,-0.000377240,0.000000000,0.000000000,0.000000000,0.000000000,0.016989739,0.004840913,0.053767357,0.009440230,0.002633378,0.000949902,0.002847323,0.001135806,-0.001072100,-0.058098887,0.416092136,-0.424552849,-0.000520454,-0.003629181,-0.003706726,0.999985411,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.424366488,0.000000000,4.175366402
1772429894.860506058,0.016820000,0.004795000,0.053743000,-0.002061720,-0.001970510,-0.005898180,0.999978540,-0.004100000,-0.003965000,-0.011788000,0.000319814,-0.000402739,0.000302506,-0.002030780,-0.016540978,-0.000455206,0.009939035,-0.000399477,0.999077922,-0.000291003,0.003761420,-0.000575043,0.000000000,0.000000000,0.000000000,0.000000000,0.016990442,0.004843145,0.053765541,0.009405563,0.002671187,0.000775470,0.002959416,0.000506227,-0.000664483,-0.059319777,0.416146103,-0.424542642,-0.000531110,-0.003629613,-0.003706676,0.999985397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.424570398,0.000000000,4.175705251
1772429894.870506287,0.016800000,0.004797000,0.053746000,-0.001996200,-0.001950400,-0.005908040,0.999978650,-0.003969000,-0.003924000,-0.011808000,0.000176321,-0.000388501,0.000183275,-0.003489754,-0.024577617,-0.000320503,0.011712532,-0.000629095,1.001164255,-0.000552026,0.001948621,-0.004629943,0.000000000,0.000000000,0.000000000,0.000000000,0.016995764,0.004838159,0.053764745,0.009475159,0.002630416,0.000738522,0.004501686,0.000653011,0.001066286,-0.060138461,0.414608988,-0.423752027,-0.000538179,-0.003616176,-0.003699796,0.999985447,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.423701147,0.000000000,4.176055084
1772429894.880506277,0.016816000,0.004786000,0.053758000,-0.002038580,-0.002115430,-0.005892780,0.999978320,-0.004052000,-0.004255000,-0.011777000,-0.000328244,-0.000002467,-0.000159596,-0.002003768,-0.017116580,-0.002127438,0.011656484,0.000106164,1.000499166,-0.002834219,0.003076164,-0.002072913,0.000000000,0.000000000,0.000000000,0.000000000,0.016986518,0.004844941,0.053758330,0.009568495,0.002659007,0.000784727,0.004440216,0.001097822,0.000202971,-0.060129140,0.413793348,-0.424934292,-0.000538109,-0.003609053,-0.003710109,0.999985456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.424790790,0.000000000,4.176404910
