t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772421798.750959635,0.013795000,0.007790000,0.053736000,-0.003625150,0.002401090,-0.000011010,0.999990550,-0.007250000,0.004802000,-0.000039000,-0.004991186,0.002251964,-0.000974865,-0.009575110,0.043366526,0.031615660,0.009750476,-0.001538843,0.999384583,-0.002288630,-0.000454256,-0.002259016,0.000000000,0.000000000,0.000000000,0.000000000,0.014113789,0.007843596,0.053728764,0.017045487,0.003021587,-0.000393600,0.006837825,0.002431523,-0.001003916,-0.184030022,0.181871095,0.019200819,-0.001605695,-0.001587393,0.000165009,0.999996472,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.019283010,0.000000000,4.077205095
1772421798.760959625,0.013779000,0.007789000,0.053739000,-0.003623780,0.002209750,0.000050340,0.999990990,-0.007247000,0.004420000,0.000085000,-0.001278362,0.000585879,-0.000269503,-0.007234641,-0.011027684,0.014271830,0.009372847,0.000197018,0.999462545,-0.003097957,0.003389783,0.000297548,0.000000000,0.000000000,0.000000000,0.000000000,0.014122612,0.007844701,0.053729526,0.017198976,0.003221915,-0.000477121,0.006352790,0.003538516,-0.000347594,-0.184048067,0.181201654,0.018587433,-0.001605862,-0.001581542,0.000159666,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018652223,0.000000000,4.077715205
1772421798.770959854,0.013763000,0.007803000,0.053730000,-0.003672120,0.002321590,0.000192020,0.999990540,-0.007343000,0.004645000,0.000367000,0.000675253,-0.000265404,0.000035392,-0.003798487,-0.028276952,0.004206681,0.009832500,-0.000787355,1.001556964,-0.002197447,0.001221367,-0.002647146,0.000000000,0.000000000,0.000000000,0.000000000,0.014116457,0.007848764,0.053730012,0.017209456,0.003437438,-0.000404782,0.006803731,0.002223682,0.001053501,-0.184673869,0.179817114,0.018423966,-0.001611327,-0.001569458,0.000158250,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018420247,0.000000000,4.078225328
1772421798.780960321,0.013773000,0.007802000,0.053729000,-0.003707200,0.002108120,0.000103550,0.999990900,-0.007414000,0.004217000,0.000191000,0.001290638,-0.000502584,0.000057304,0.000000474,-0.019428262,-0.000180698,0.011067133,-0.002361416,1.001496048,0.000150669,0.000748086,-0.002220047,0.000000000,0.000000000,0.000000000,0.000000000,0.014106358,0.007858757,0.053727263,0.017291956,0.003540957,-0.000272122,0.007507580,0.001189677,0.001074301,-0.184924261,0.179422783,0.018440058,-0.001613512,-0.001566018,0.000158393,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018439447,0.000000000,4.078735463
1772421798.790961266,0.013792000,0.007791000,0.053729000,-0.003703730,0.002334230,0.000167310,0.999990400,-0.007407000,0.004670000,0.000317000,0.000988773,-0.000326360,-0.000086286,0.003398526,0.004472366,-0.000496522,0.010615742,-0.002483443,0.999583697,0.001654750,0.000855638,-0.002013413,0.000000000,0.000000000,0.000000000,0.000000000,0.014105305,0.007864887,0.053726017,0.017449185,0.003566681,-0.000209552,0.006677379,0.000320689,0.000042778,-0.184572681,0.179098604,0.018765691,-0.001610440,-0.001563193,0.000161244,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018672369,0.000000000,4.079245623
1772421798.800961256,0.013798000,0.007787000,0.053737000,-0.003676110,0.002161550,0.000083920,0.999990900,-0.007352000,0.004324000,0.000152000,0.000190637,0.000062568,-0.000277895,0.005642460,0.032378837,0.001648753,0.008021302,-0.002449305,1.000098816,-0.001124968,0.005800878,-0.000325743,0.000000000,0.000000000,0.000000000,0.000000000,0.014113420,0.007863456,0.053725756,0.017490081,0.003519647,-0.000208081,0.005321787,0.000645497,-0.000627727,-0.184441669,0.177359023,0.018771021,-0.001609299,-0.001548012,0.000161316,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018898081,0.000000000,4.079755733
1772421798.810961962,0.013791000,0.007798000,0.053727000,-0.003578630,0.002295020,0.000228990,0.999990940,-0.007156000,0.004592000,0.000442000,-0.000095396,0.000107809,-0.000045474,0.004535738,0.033506463,0.002951492,0.008777855,-0.002094161,1.000686105,0.000108357,0.005192547,0.000896405,0.000000000,0.000000000,0.000000000,0.000000000,0.014121975,0.007860177,0.053727700,0.017441388,0.003525884,-0.000270377,0.005004650,0.001563298,-0.000439263,-0.184994184,0.175675775,0.017727285,-0.001614137,-0.001533309,0.000152224,0.999996483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.017980247,0.000000000,4.080265881
1772421798.820962667,0.013787000,0.007795000,0.053721000,-0.003585500,0.002622570,0.000166730,0.999990120,-0.007170000,0.005246000,0.000315000,-0.000614861,0.000372747,-0.000056352,0.001162222,0.031411991,0.006445861,0.009534407,-0.001739017,1.001273395,0.001341681,0.004584216,0.002118553,0.000000000,0.000000000,0.000000000,0.000000000,0.014125102,0.007861371,0.053726770,0.017399850,0.003598184,-0.000279199,0.006075945,0.001751964,0.000251079,-0.184798241,0.174552833,0.016784917,-0.001612442,-0.001523496,0.000144019,0.999996523,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.016601060,0.000000000,4.080351830
1772421798.830962658,0.013777000,0.007793000,0.053724000,-0.003620250,0.002912690,0.000173150,0.999989190,-0.007240000,0.005827000,0.000325000,-0.000795786,0.000417541,-0.000028166,-0.004738191,0.013463771,0.003933524,0.009436763,-0.001969204,1.001125926,0.000483135,0.000926838,0.001349916,0.000000000,0.000000000,0.000000000,0.000000000,0.014123933,0.007864466,0.053722026,0.017447638,0.003674465,-0.000219185,0.006244971,0.001364938,0.000642320,-0.183667839,0.173597512,0.017442255,-0.001602570,-0.001515167,0.000149784,0.999996543,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.016801921,0.000000000,4.080351830
1772421798.840962648,0.013759000,0.007824000,0.053722000,-0.003646770,0.003119590,0.000290050,0.999988440,-0.007292000,0.006241000,0.000557000,-0.000378167,0.000274748,-0.000055672,-0.006740254,-0.000693452,0.004334334,0.009119086,-0.002391832,1.000832669,-0.000953118,-0.003183762,0.000072329,0.000000000,0.000000000,0.000000000,0.000000000,0.014118657,0.007864810,0.053720740,0.017444056,0.003702612,-0.000141044,0.005956588,0.000605111,0.001082445,-0.183477847,0.173630742,0.017081829,-0.001600916,-0.001515452,0.000146641,0.999996597,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.017035607,0.000000000,4.080351830
