t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772421915.832047939,0.017499000,0.011762000,0.053719000,-0.002866920,0.003303470,0.032269310,0.999469640,-0.005518000,0.006789000,0.064532000,-0.000749010,-0.000025524,-0.000936423,-0.000468005,-0.006448169,0.014927778,0.008312623,-0.005530813,0.998980047,0.003063985,0.005109170,0.001364883,0.000000000,0.000000000,0.000000000,0.000000000,0.017628508,0.011784394,0.053712594,0.014066918,0.001882684,-0.000040357,0.004433110,-0.001939466,-0.000552376,-0.229089032,0.234535095,2.953664696,-0.001945758,-0.002097546,0.025768514,0.999662973,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.956178917,0.000000000,4.022287369
1772421915.842048407,0.017485000,0.011772000,0.053706000,-0.002862960,0.003375440,0.032326600,0.999467560,-0.005505000,0.006932000,0.064646000,0.000304604,-0.000204779,0.000057284,-0.002997601,0.005700720,-0.000487689,0.008137821,-0.005566059,0.999274890,0.003702615,0.006020974,0.001710009,0.000000000,0.000000000,0.000000000,0.000000000,0.017628261,0.011784584,0.053712236,0.014079968,0.001868647,-0.000071108,0.004265115,-0.001863820,-0.000092308,-0.228895922,0.234745546,2.954402217,-0.001944013,-0.002099351,0.025774947,0.999662841,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.957325703,0.000000000,4.022287369
1772421915.852048874,0.017489000,0.011768000,0.053710000,-0.002902320,0.003540340,0.032313330,0.999467300,-0.005573000,0.007265000,0.064618000,0.000697029,-0.000195921,0.000412879,-0.003320364,0.013605360,-0.006984452,0.007963019,-0.005601305,0.999569733,0.004341245,0.006932779,0.002055136,0.000000000,0.000000000,0.000000000,0.000000000,0.017628014,0.011784774,0.053711878,0.014093018,0.001854610,-0.000101859,0.004097119,-0.001788173,0.000367761,-0.228467047,0.234720033,2.955780601,-0.001940252,-0.002099055,0.025786979,0.999662710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.958472489,0.000000000,4.022287369
1772421915.862049580,0.017518000,0.011751000,0.053726000,-0.002879380,0.003185340,0.032246140,0.999470730,-0.005550000,0.006553000,0.064486000,0.000612180,-0.000064685,0.000324068,-0.002173867,0.017725447,-0.006917171,0.007788214,-0.005636551,0.999864583,0.004979890,0.007844605,0.002400270,0.000000000,0.000000000,0.000000000,0.000000000,0.017627767,0.011784964,0.053711519,0.014106068,0.001840572,-0.000132611,0.003929119,-0.001712524,0.000827841,-0.227632722,0.234288740,2.958261096,-0.001933025,-0.002095146,0.025808640,0.999662579,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.959619302,0.000000000,4.022287369
1772421915.872050285,0.017520000,0.011757000,0.053723000,-0.002937430,0.003565540,0.032150550,0.999472360,-0.005643000,0.007316000,0.064292000,0.000233975,0.000123194,-0.000015443,-0.000280091,0.018521947,-0.002643071,0.008632139,-0.005053273,1.000524260,0.003164824,0.004861927,-0.002368507,0.000000000,0.000000000,0.000000000,0.000000000,0.017633869,0.011781145,0.053714459,0.014133997,0.001725973,-0.000145122,0.003885368,-0.000969710,0.000900985,-0.226819898,0.233865338,2.960629108,-0.001925987,-0.002091310,0.025829319,0.999661574,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.960863931,0.000000000,4.022287369
1772421915.882050514,0.017501000,0.011765000,0.053720000,-0.002938400,0.003846540,0.032289700,0.999466830,-0.005625000,0.007879000,0.064569000,-0.000253672,0.000301982,-0.000411947,0.001627313,0.016454237,0.003482776,0.008611950,-0.003601700,1.000608348,0.001100359,0.001115831,-0.003712367,0.000000000,0.000000000,0.000000000,0.000000000,0.017643924,0.011775722,0.053718919,0.014184638,0.001558119,-0.000111365,0.003872733,0.000608624,0.000490751,-0.226163950,0.233499517,2.962176521,-0.001920319,-0.002087997,0.025842838,0.999661110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.962430924,0.000000000,4.022287369
1772421915.892050505,0.017498000,0.011773000,0.053710000,-0.002898300,0.003637090,0.032271250,0.999468330,-0.005559000,0.007457000,0.064534000,-0.000521465,0.000354857,-0.000451865,0.000997643,0.012590394,0.006264428,0.007300727,-0.002273397,0.999795163,-0.000348611,-0.000184628,-0.000162996,0.000000000,0.000000000,0.000000000,0.000000000,0.017649339,0.011774738,0.053720386,0.014234529,0.001489308,-0.000020514,0.003155264,0.001935534,0.000232781,-0.226319764,0.234201233,2.966091489,-0.001921448,-0.002094219,0.025876977,0.999659600,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.966662269,0.000000000,4.022287369
1772421915.902050257,0.017495000,0.011777000,0.053697000,-0.002867480,0.003755590,0.032296260,0.999467170,-0.005490000,0.007692000,0.064583000,-0.000487316,0.000230323,-0.000026923,0.000595318,0.005619153,0.007151033,0.007519473,-0.003055377,0.999493281,-0.001908945,0.000595631,-0.001590403,0.000000000,0.000000000,0.000000000,0.000000000,0.017644395,0.011777389,0.053719941,0.014142675,0.001607746,-0.000015055,0.003267037,0.000929272,0.000060967,-0.226813964,0.235122251,2.969053924,-0.001925497,-0.002102415,0.025902795,0.999658658,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.969365892,0.000000000,4.022287369
1772421915.912048340,0.017489000,0.011771000,0.053701000,-0.002876720,0.003774330,0.032405970,0.999463520,-0.005506000,0.007731000,0.064803000,-0.000140890,-0.000063520,0.000470047,0.000638883,-0.010441419,0.006108946,0.009991790,-0.004444457,1.000511586,0.000275566,-0.000829655,-0.000718635,0.000000000,0.000000000,0.000000000,0.000000000,0.017640226,0.011783017,0.053715091,0.014029528,0.001718206,-0.000064961,0.006096303,0.000147470,0.000272679,-0.226927966,0.236664846,2.972487764,-0.001926079,-0.002115955,0.025932720,0.999658778,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.973131561,0.000000000,4.022287369
1772421915.922048330,0.017498000,0.011766000,0.053720000,-0.002932630,0.003721430,0.032350380,0.999465360,-0.005622000,0.007629000,0.064691000,-0.000127622,-0.000075622,0.000447397,-0.000316919,-0.007022380,0.007759816,0.008749733,-0.005479465,0.999521400,0.002287554,0.000655431,0.000909591,0.000000000,0.000000000,0.000000000,0.000000000,0.017636429,0.011788307,0.053706427,0.014112675,0.001706492,-0.000042899,0.004503767,-0.000310112,-0.000611017,-0.226496575,0.238119145,2.977020145,-0.001921902,-0.002128621,0.025972241,0.999657731,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.977764654,0.000000000,4.022287369
