t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772681346.748093128,0.016069000,0.003129000,0.055129000,-0.002229380,0.003261360,0.012445790,0.999914740,-0.004377000,0.006578000,0.024878000,0.001711165,-0.000334320,-0.000536539,-0.011912679,0.037062823,-0.013998109,0.010273363,-0.002039046,0.998639518,0.000625162,0.002427769,-0.000446987,0.000000000,0.000000000,0.000000000,0.000000000,0.016335691,0.003140883,0.055081486,0.014379394,0.000728241,-0.002374602,0.005118490,0.000768305,-0.001280185,-0.177112428,0.306118614,0.983018596,-0.001522617,-0.002684546,0.008574173,0.999957502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.983003976,0.000000000,4.090909004
1772681346.758094311,0.016079000,0.003127000,0.055126000,-0.002321910,0.003328290,0.012407260,0.999914790,-0.004561000,0.006714000,0.024800000,0.000482697,-0.000083522,-0.000392727,-0.008469813,0.020632634,0.000896661,0.009054177,-0.002906112,0.999794664,0.001920203,0.000480504,0.000343879,0.000000000,0.000000000,0.000000000,0.000000000,0.016347981,0.003141036,0.055079893,0.014495853,0.000816870,-0.002387340,0.003766678,0.000378205,-0.000305208,-0.177038235,0.306379066,0.982519098,-0.001521962,-0.002686806,0.008569812,0.999957516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.982217343,0.000000000,4.090909004
1772681346.768095255,0.016082000,0.003123000,0.055128000,-0.002288240,0.003459870,0.012391870,0.999914610,-0.004490000,0.006976000,0.024769000,-0.000179960,0.000029990,-0.000230151,-0.005279593,0.006116383,0.007520595,0.009205812,-0.004536120,0.999999495,0.000707926,0.002090328,-0.000895423,0.000000000,0.000000000,0.000000000,0.000000000,0.016348480,0.003141254,0.055075867,0.014501400,0.000786262,-0.002254893,0.003791653,-0.001079053,0.000158822,-0.177278325,0.305234539,0.981048049,-0.001524177,-0.002676817,0.008556985,0.999957638,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.980938110,0.000000000,4.090909004
1772681346.778095484,0.016079000,0.003130000,0.055119000,-0.002354520,0.003511290,0.012438950,0.999913700,-0.004621000,0.007081000,0.024862000,-0.000415957,0.000046772,-0.000070488,-0.002422677,-0.005760500,0.008180915,0.009374597,-0.003661634,0.998551818,0.002468553,-0.000811646,0.000066552,0.000000000,0.000000000,0.000000000,0.000000000,0.016228092,0.003135993,0.055096991,0.014196268,0.000646722,-0.002139813,0.003994297,-0.000781722,-0.001002534,-0.176798349,0.304651588,0.980026856,-0.001520056,-0.002671681,0.008548093,0.999957727,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.979893862,0.000000000,4.090909004
1772681346.788096428,0.016069000,0.003126000,0.055116000,-0.002351430,0.003292620,0.012602840,0.999912400,-0.004620000,0.006644000,0.025191000,-0.000364446,0.000007381,0.000064584,0.000018423,-0.014271762,0.005178850,0.011187897,-0.002950446,0.996446089,-0.000896871,0.000011932,-0.001717964,0.000000000,0.000000000,0.000000000,0.000000000,0.016346973,0.003141244,0.055078816,0.014530065,0.000606131,-0.002279549,0.005477527,0.000076556,-0.003118172,-0.175763562,0.304292925,0.979376411,-0.001511068,-0.002668465,0.008542446,0.999957800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.979348914,0.000000000,4.090909004
1772681346.798097134,0.016071000,0.003131000,0.055117000,-0.002353270,0.003363920,0.012558850,0.999912710,-0.004622000,0.006786000,0.025103000,-0.000164577,-0.000047627,0.000153389,0.001962954,-0.018692596,0.000816780,0.010637114,-0.002845975,0.996774836,-0.000988988,-0.000296592,-0.001483331,0.000000000,0.000000000,0.000000000,0.000000000,0.016347130,0.003141359,0.055078928,0.014558341,0.000607574,-0.002317793,0.005425959,0.000309040,-0.003317414,-0.175247004,0.304357999,0.979191259,-0.001506560,-0.002668992,0.008540841,0.999957805,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.979175360,0.000000000,4.090909004
1772681346.808097839,0.016071000,0.003125000,0.055131000,-0.002318490,0.003355530,0.012470690,0.999913920,-0.004553000,0.006768000,0.024927000,-0.000116814,-0.000005963,0.000077753,0.002555593,-0.017826268,0.000962803,0.010086331,-0.002741505,0.997103583,-0.001081106,-0.000605115,-0.001248699,0.000000000,0.000000000,0.000000000,0.000000000,0.016347288,0.003141474,0.055079040,0.014586618,0.000609018,-0.002356036,0.004880825,0.000397057,-0.002980844,-0.175225852,0.304382555,0.979045632,-0.001506377,-0.002669203,0.008539570,0.999957815,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.979029876,0.000000000,4.090909004
1772681346.818098068,0.016074000,0.003120000,0.055132000,-0.002319130,0.002927180,0.012390690,0.999916260,-0.004565000,0.005911000,0.024769000,-0.000197325,0.000032884,0.000078083,0.004762579,-0.003829066,0.002529922,0.009535575,-0.002637040,0.997432314,-0.001173219,-0.000913624,-0.001014078,0.000000000,0.000000000,0.000000000,0.000000000,0.016347445,0.003141589,0.055079152,0.014614893,0.000610462,-0.002394278,0.004335718,0.000485070,-0.002644291,-0.175204701,0.304407111,0.978900012,-0.001506194,-0.002669414,0.008538300,0.999957825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.978884399,0.000000000,4.090909004
1772681346.828098297,0.016069000,0.003129000,0.055121000,-0.002270270,0.003113300,0.012563630,0.999913650,-0.004462000,0.006283000,0.025114000,-0.000270416,0.000220808,-0.000063651,0.004624025,0.004656324,0.004306596,0.008984818,-0.002532575,0.997761045,-0.001265332,-0.001222132,-0.000779457,0.000000000,0.000000000,0.000000000,0.000000000,0.016347602,0.003141704,0.055079264,0.014643169,0.000611905,-0.002432520,0.003790610,0.000573083,-0.002307738,-0.175183550,0.304431666,0.978754392,-0.001506011,-0.002669625,0.008537029,0.999957835,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.978738921,0.000000000,4.090909004
1772681346.838098764,0.016068000,0.003130000,0.055119000,-0.002283590,0.003258670,0.012587750,0.999912850,-0.004485000,0.006574000,0.025162000,-0.000295783,0.000204803,-0.000112385,0.003253040,0.009538469,0.007294687,0.008434049,-0.002428107,0.998089784,-0.001357448,-0.001530648,-0.000544830,0.000000000,0.000000000,0.000000000,0.000000000,0.016347759,0.003141820,0.055079376,0.014671444,0.000613349,-0.002470763,0.003245490,0.000661098,-0.001971177,-0.175162398,0.304456222,0.978608769,-0.001505828,-0.002669835,0.008535758,0.999957845,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.978593441,0.000000000,4.090909004
