t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772682540.385919094,0.015872000,0.005099000,0.054569000,-0.001886680,0.014864750,-0.004631930,0.999877000,-0.003912000,0.029713000,-0.009323000,0.001854106,0.005122854,-0.008069256,0.155646375,-0.224670313,0.090142193,0.013976418,0.002954496,0.999323070,-0.001845996,0.001197225,-0.000039706,0.000000000,0.000000000,0.000000000,0.000000000,0.016623300,0.005216101,0.054529575,0.039665559,0.006248636,-0.001881417,0.012778536,0.002330662,-0.001786595,0.021214153,0.052801234,-0.362195451,0.000183671,-0.000461361,-0.003160657,0.999993867,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.362080979,0.000000000,4.003993350
1772682540.395918846,0.015857000,0.005107000,0.054577000,-0.001950750,0.014954960,-0.004635330,0.999875520,-0.004041000,0.029893000,-0.009332000,0.000031217,0.000752000,-0.001699634,0.022130900,-0.033520444,0.016595325,0.013743578,0.003137595,0.999759194,-0.001774377,-0.000515073,-0.000404646,0.000000000,0.000000000,0.000000000,0.000000000,0.016626263,0.005220173,0.054526353,0.039754188,0.006291826,-0.001926450,0.012898140,0.002121337,-0.000159092,0.020445527,0.051903336,-0.361546363,0.000176991,-0.000453503,-0.003154998,0.999993920,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.361461400,0.000000000,4.003489732
1772682540.405918837,0.015854000,0.005108000,0.054572000,-0.002049150,0.015027630,-0.004637580,0.999874220,-0.004239000,0.030037000,-0.009340000,-0.000785237,-0.001434185,0.001609422,-0.049378408,0.071364351,-0.022690338,0.012423069,0.004081893,0.999077802,-0.000278725,-0.000117358,0.000982783,0.000000000,0.000000000,0.000000000,0.000000000,0.016629666,0.005218425,0.054522326,0.039817212,0.006336391,-0.001870952,0.011044180,0.003124479,-0.000874938,0.020239828,0.051265016,-0.361010926,0.000175215,-0.000447926,-0.003150327,0.999993920,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360895133,0.000000000,4.002986102
1772682540.415918350,0.015859000,0.005103000,0.054548000,-0.001965800,0.015100090,-0.004587320,0.999873530,-0.004071000,0.030183000,-0.009237000,-0.000881277,-0.001974175,0.002611079,-0.073932594,0.109886085,-0.036251200,0.011872354,0.003414633,0.997279778,0.002635667,-0.001481413,0.000495376,0.000000000,0.000000000,0.000000000,0.000000000,0.016639827,0.005212211,0.054517235,0.039730568,0.006425957,-0.001941359,0.011498980,0.002992210,-0.002445992,0.020216319,0.051483311,-0.360611934,0.000175006,-0.000449830,-0.003146845,0.999993920,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360571097,0.000000000,4.002482496
1772682540.425917149,0.015878000,0.005093000,0.054548000,-0.001988090,0.014960660,-0.004667780,0.999875210,-0.004117000,0.029903000,-0.009398000,-0.000542923,-0.001406445,0.002058501,-0.066612704,0.101946700,-0.032563356,0.012440628,0.001562838,0.998071342,-0.001820971,0.000453281,0.001552878,0.000000000,0.000000000,0.000000000,0.000000000,0.016646383,0.005210221,0.054517296,0.039712269,0.006444609,-0.002093294,0.011527215,0.001825086,-0.002225395,0.019890333,0.052183681,-0.360173334,0.000172144,-0.000455932,-0.003143018,0.999993965,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360074742,0.000000000,4.001978926
1772682540.435918093,0.015876000,0.005085000,0.054558000,-0.002088200,0.015153500,-0.004643040,0.999872220,-0.004319000,0.030288000,-0.009353000,-0.000056198,-0.000269471,0.000704854,-0.042425952,0.067471348,-0.020182797,0.012585659,0.000717133,0.998335742,-0.001002235,-0.000666013,-0.003046080,0.000000000,0.000000000,0.000000000,0.000000000,0.016647778,0.005207357,0.054527008,0.039663952,0.006348739,-0.002144911,0.010509987,0.000040361,-0.001701751,0.019635974,0.052086258,-0.360051871,0.000169927,-0.000455075,-0.003141959,0.999993980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360237162,0.000000000,4.001475248
1772682540.445917606,0.015796000,0.005034000,0.054709000,-0.003825930,0.017848230,-0.005453440,0.999818520,-0.007850000,0.035656000,-0.011049000,-0.000725115,0.000158104,0.001013545,-0.048182580,0.061856122,-0.025446134,0.011814984,0.000754080,0.999680821,0.000779483,-0.002488557,0.001873600,0.000000000,0.000000000,0.000000000,0.000000000,0.016638979,0.005212841,0.054530606,0.039493362,0.006183493,-0.002166834,0.011586671,0.000202898,-0.000687207,0.019320644,0.052685303,-0.360670247,0.000167156,-0.000460295,-0.003147356,0.999993938,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360596665,0.000000000,4.001173019
1772682540.455918074,0.015846000,0.005089000,0.054607000,-0.003269360,0.016815370,-0.005281240,0.999839320,-0.006719000,0.033597000,-0.010677000,-0.000896215,0.000560717,0.000460132,-0.050050642,0.050697745,-0.029765658,0.014087206,0.002249395,0.999227121,0.000899929,-0.000918781,-0.003588811,0.000000000,0.000000000,0.000000000,0.000000000,0.016627364,0.005216369,0.054529138,0.039468311,0.006077401,-0.002113931,0.012655206,0.001564457,-0.000579850,0.018809673,0.054820805,-0.360005450,0.000162641,-0.000478916,-0.003141553,0.999993967,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.359880427,0.000000000,4.001173019
1772682540.465917110,0.015848000,0.005110000,0.054570000,-0.002804180,0.016314400,-0.005005520,0.999850450,-0.005774000,0.032602000,-0.010107000,-0.000293850,0.000598810,-0.000741588,-0.030163795,0.024469229,-0.024160007,0.013759381,0.002115812,0.998234962,-0.001058231,-0.000980357,-0.001344869,0.000000000,0.000000000,0.000000000,0.000000000,0.016666097,0.005223911,0.054512518,0.039676785,0.006089869,-0.002188554,0.012088699,0.001561679,-0.001358020,0.018407429,0.055706397,-0.359231376,0.000159110,-0.000486632,-0.003134798,0.999993980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.359182928,0.000000000,4.001173019
1772682540.475917101,0.015872000,0.005112000,0.054541000,-0.002539160,0.015532950,-0.004943480,0.999863910,-0.005234000,0.031042000,-0.009969000,0.000832635,0.000428293,-0.001650663,0.009493530,-0.027304385,-0.006238007,0.013803718,0.002653027,0.998594368,-0.001819446,0.001307475,-0.003128456,0.000000000,0.000000000,0.000000000,0.000000000,0.016651029,0.005217053,0.054514673,0.039585959,0.006026754,-0.002245100,0.013151708,0.002618819,-0.001615589,0.018932591,0.056011652,-0.359973396,0.000163682,-0.000489311,-0.003141271,0.999993921,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.360151054,0.000000000,4.001173019
1772682540.485916615,0.015783000,0.005072000,0.054667000,-0.004162270,0.017636710,-0.005836730,0.999818760,-0.008534000,0.035226000,-0.011826000,0.000884676,-0.000050293,-0.000911619,0.023899489,-0.031799654,0.005429215,0.014162314,0.002715310,0.999969985,-0.002117461,0.001391338,-0.000698198,0.000000000,0.000000000,0.000000000,0.000000000,0.016645250,0.005213018,0.054520248,0.039645007,0.006096054,-0.002209901,0.013422447,0.002258339,0.000604468,0.018873792,0.054737831,-0.359756341,0.000163204,-0.000478193,-0.003139379,0.999993979,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.359644688,0.000000000,4.001173019
