t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772419726.251343966,0.014530000,0.007605000,0.055548000,-0.004208170,0.005338270,0.014599530,0.999870320,-0.008260000,0.010798000,0.029156000,0.002506180,-0.002246039,0.002195049,0.005325858,0.015691469,0.001207521,0.010072851,-0.000029353,1.000856578,0.001626352,0.001714591,0.000049292,0.000000000,0.000000000,0.000000000,0.000000000,0.014897624,0.007723455,0.055527831,0.018307625,0.006761575,-0.001642215,0.005580310,0.002551003,0.000182929,-0.148577522,0.230420741,1.161491486,-0.001276132,-0.002023838,0.010133106,0.999944830,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.161119694,0.000000000,4.133137703
1772419726.261344433,0.014551000,0.007589000,0.055553000,-0.004222080,0.005283100,0.014554730,0.999871200,-0.008290000,0.010688000,0.029067000,0.000935665,-0.000805712,0.000959383,0.006152751,-0.007401100,0.005509530,0.009475897,0.001713103,0.999806287,-0.004493354,0.004069584,0.001058688,0.000000000,0.000000000,0.000000000,0.000000000,0.014903176,0.007720816,0.055533584,0.018367260,0.006849202,-0.001476820,0.005624234,0.003808191,0.001062239,-0.147379199,0.229871137,1.161022782,-0.001265732,-0.002018931,0.010129044,0.999944974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.158714475,0.000000000,4.133137703
1772419726.271345139,0.014543000,0.007594000,0.055565000,-0.004127040,0.005316340,0.014661800,0.999869860,-0.008098000,0.010753000,0.029282000,0.000016200,0.000028322,0.000180711,0.005943022,-0.016881237,0.006532183,0.008456335,0.002556789,1.000197370,-0.002293067,-0.000479037,-0.001423592,0.000000000,0.000000000,0.000000000,0.000000000,0.014900011,0.007724275,0.055535067,0.018339520,0.007045158,-0.001369807,0.004563972,0.004952992,-0.000184492,-0.147219033,0.229663442,1.158998342,-0.001264388,-0.002017082,0.010111383,0.999945127,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.158158339,0.000000000,4.132764731
1772419726.281345129,0.014553000,0.007587000,0.055567000,-0.004113000,0.005269010,0.014704770,0.999869540,-0.008071000,0.010658000,0.029368000,-0.000392075,0.000386131,-0.000224184,0.004919823,-0.016308763,0.005157188,0.008180200,0.001943554,1.001108862,-0.000354674,0.000812190,-0.001626574,0.000000000,0.000000000,0.000000000,0.000000000,0.014894277,0.007730816,0.055532614,0.018233141,0.007323293,-0.001298403,0.004410467,0.004919881,0.001297303,-0.148208883,0.228359876,1.158128329,-0.001273156,-0.002005784,0.010103789,0.999945194,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.156701361,0.000000000,4.132234064
1772419726.291344881,0.014554000,0.007587000,0.055569000,-0.004127540,0.005051900,0.014653120,0.999871360,-0.008106000,0.010224000,0.029266000,-0.000429021,0.000397786,-0.000338520,0.003303915,-0.009243222,0.002270392,0.010511603,0.000169539,1.000174753,0.000078687,0.003134154,-0.000428173,0.000000000,0.000000000,0.000000000,0.000000000,0.014893074,0.007738056,0.055530482,0.018144824,0.007576589,-0.001155328,0.006012627,0.002910018,-0.000014050,-0.148101190,0.229282854,1.156371880,-0.001272166,-0.002013810,0.010088453,0.999945365,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.154277926,0.000000000,4.131703409
1772419726.301344395,0.014531000,0.007600000,0.055559000,-0.004107660,0.004990080,0.014650600,0.999871780,-0.008069000,0.010099000,0.029262000,-0.000234499,0.000193357,-0.000245513,0.001311137,0.000755029,-0.001240162,0.011375999,-0.000923380,0.999435032,-0.001501662,0.000552572,0.000778654,0.000000000,0.000000000,0.000000000,0.000000000,0.014896944,0.007738894,0.055535686,0.018306144,0.007631508,-0.001069366,0.007504882,0.001673831,-0.000376684,-0.147898258,0.228093419,1.153626463,-0.001270548,-0.002003382,0.010064514,0.999945604,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.152339543,0.000000000,4.131172767
1772419726.311344624,0.014541000,0.007598000,0.055550000,-0.004087620,0.005216190,0.014696810,0.999870030,-0.008021000,0.010551000,0.029353000,0.000049573,-0.000085140,-0.000023019,-0.001780473,0.005873936,-0.006025504,0.008498380,-0.001927029,0.998192134,-0.002120518,0.004356200,-0.001724647,0.000000000,0.000000000,0.000000000,0.000000000,0.014899210,0.007735621,0.055542390,0.018457164,0.007514720,-0.001073094,0.005291315,0.000518393,-0.001639516,-0.147851333,0.227161760,1.152273579,-0.001270244,-0.001995233,0.010052720,0.999945700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.151471606,0.000000000,4.130642087
1772419726.321344614,0.014541000,0.007601000,0.055554000,-0.004082880,0.005303080,0.014660940,0.999870120,-0.008010000,0.010725000,0.029281000,0.000032284,-0.000125622,0.000286053,-0.002408570,0.011302534,-0.003661896,0.008112521,-0.001987193,0.998176049,0.001944427,-0.002390566,0.001715333,0.000000000,0.000000000,0.000000000,0.000000000,0.014899910,0.007733946,0.055545637,0.018394709,0.007376922,-0.001171018,0.004255858,0.001583052,-0.001804993,-0.148914142,0.226958971,1.151392971,-0.001279551,-0.001993547,0.010045018,0.999945781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.150183739,0.000000000,4.130111419
1772419726.331344366,0.014554000,0.007586000,0.055566000,-0.004137410,0.005152220,0.014586850,0.999871770,-0.008124000,0.010424000,0.029133000,0.000037840,-0.000117949,0.000223640,-0.004074242,0.009358161,-0.001254847,0.009473754,-0.000798115,0.997911582,-0.000550543,0.000834727,-0.000130959,0.000000000,0.000000000,0.000000000,0.000000000,0.014897003,0.007735437,0.055542139,0.018290787,0.007271571,-0.001314606,0.005186972,0.001586543,-0.001720010,-0.149946501,0.225362720,1.149999368,-0.001288724,-0.001979692,0.010032858,0.999945907,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.149477273,0.000000000,4.129580764
1772419726.341344357,0.014541000,0.007587000,0.055571000,-0.004154160,0.005322100,0.014587620,0.999870800,-0.008153000,0.010764000,0.029133000,-0.000077972,-0.000020008,-0.000032440,-0.004375640,0.003126541,-0.000778664,0.008580265,-0.000358641,0.999404683,0.002196861,-0.003562727,0.002467702,0.000000000,0.000000000,0.000000000,0.000000000,0.015007738,0.007782012,0.055530272,0.018582256,0.007408986,-0.001481618,0.005034567,0.002631923,-0.001459560,-0.149566163,0.226202828,1.149360675,-0.001285342,-0.001986983,0.010027282,0.999945996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.148325723,0.000000000,4.129050097
