t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772682920.808781862,0.013895000,0.006726000,0.054060000,-0.002414180,0.002889550,0.019917050,0.999794550,-0.004712000,0.005874000,0.039823000,-0.000979915,0.001645242,0.002958006,0.006158320,-0.122674537,-0.043087049,0.010668328,-0.003384186,0.999576364,0.000061818,-0.000461530,0.000972430,0.000000000,0.000000000,0.000000000,0.000000000,0.014086954,0.006764687,0.054029027,0.011729117,0.001509039,-0.000421387,0.004328708,0.000233339,-0.000290721,-0.169908731,0.323695560,1.756266377,-0.001439260,-0.002847165,0.015321435,0.999876797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.754901338,0.000000000,4.170087814
1772682920.818781614,0.013891000,0.006726000,0.054067000,-0.002413030,0.003036560,0.019662300,0.999799160,-0.004706000,0.006167000,0.039313000,-0.001192153,0.001041512,0.000731663,-0.007415319,-0.051659027,-0.005263073,0.010601064,-0.003093818,0.998041167,-0.000277916,-0.001839389,0.002881484,0.000000000,0.000000000,0.000000000,0.000000000,0.014103023,0.006760449,0.054039276,0.011902815,0.001466966,-0.000407263,0.004920772,0.000255250,-0.001293514,-0.169659154,0.323127356,1.754351072,-0.001437206,-0.002842150,0.015304737,0.999876996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.753109478,0.000000000,4.170087814
1772682920.828781128,0.013891000,0.006721000,0.054064000,-0.002506420,0.003096230,0.019627070,0.999799430,-0.004890000,0.006290000,0.039242000,-0.001211617,0.000776827,-0.000366473,-0.012038536,-0.026343148,0.018044196,0.010467876,-0.002158187,0.999399537,0.000248812,-0.001386029,-0.000470489,0.000000000,0.000000000,0.000000000,0.000000000,0.014115748,0.006756913,0.054050384,0.012120943,0.001448803,-0.000481374,0.003296667,0.001948798,0.000535443,-0.169392085,0.323335266,1.752592361,-0.001434891,-0.002843906,0.015289395,0.999877227,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.751525823,0.000000000,4.170087814
1772682920.838780880,0.013827000,0.006799000,0.054099000,-0.002491490,0.001278000,0.020195300,0.999792130,-0.004930000,0.002656000,0.040387000,-0.001071874,0.000723214,-0.000632907,-0.010052195,-0.031791413,0.029398358,0.010371130,-0.001286261,1.000684149,0.000779207,-0.001024875,-0.003553738,0.000000000,0.000000000,0.000000000,0.000000000,0.014120460,0.006753646,0.054052659,0.012140071,0.001568215,-0.000418337,0.004077436,0.001246838,0.001098268,-0.169017671,0.324126350,1.750729959,-0.001431565,-0.002850736,0.015273143,0.999877468,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.749511131,0.000000000,4.170087814
1772682920.848781109,0.013869000,0.006746000,0.054055000,-0.002533280,0.002015410,0.020091410,0.999792910,-0.004985000,0.004132000,0.040175000,-0.000806489,0.000752701,-0.000364142,-0.003966016,-0.053093131,0.031282973,0.010953941,-0.001602562,1.000592952,0.001377752,-0.002383183,-0.001625080,0.000000000,0.000000000,0.000000000,0.000000000,0.014090643,0.006792369,0.054073154,0.012069559,0.001790648,-0.000226968,0.003368856,-0.000788139,0.000893307,-0.168271189,0.324531094,1.749031831,-0.001425040,-0.002854147,0.015258339,0.999877642,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.748216065,0.000000000,4.170087814
1772682920.858781099,0.013864000,0.006729000,0.054043000,-0.002556940,0.002593510,0.020008910,0.999793170,-0.005009000,0.005288000,0.040008000,-0.000449029,0.000737316,0.000143318,0.003868746,-0.075311496,0.026279077,0.011536738,-0.001918855,1.000501757,0.001976282,-0.003741458,0.000303533,0.000000000,0.000000000,0.000000000,0.000000000,0.014096029,0.006783555,0.054059817,0.012083307,0.001620419,-0.000177169,0.004908652,0.000776507,0.000339567,-0.167820023,0.323981755,1.747481753,-0.001421215,-0.002849274,0.015244832,0.999877922,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.746402532,0.000000000,4.170087814
1772682920.868780613,0.013823000,0.006807000,0.054085000,-0.002472560,0.001130680,0.020496590,0.999786230,-0.004898000,0.002362000,0.040990000,0.000350525,-0.000273407,-0.000041822,0.010178400,-0.033222107,0.009804163,0.011875646,-0.001469537,1.000381048,0.001656584,-0.003697330,0.001840552,0.000000000,0.000000000,0.000000000,0.000000000,0.014092455,0.006781494,0.054054593,0.012237647,0.001634483,-0.000145349,0.007043764,0.001118143,-0.000173799,-0.167147187,0.324823985,1.745256425,-0.001415287,-0.002856506,0.015225421,0.999878165,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.744589085,0.000000000,4.170087814
1772682920.878780842,0.013871000,0.006748000,0.054057000,-0.002515400,0.001695050,0.020128390,0.999792800,-0.004962000,0.003491000,0.040251000,0.000798777,-0.000726496,-0.000077001,0.011609741,0.002399878,0.000790384,0.011869798,0.000062237,1.000218596,0.000038682,-0.001670527,0.002824164,0.000000000,0.000000000,0.000000000,0.000000000,0.014082201,0.006804757,0.054065914,0.012494724,0.001796947,-0.000105707,0.006987818,0.002269400,-0.000541905,-0.166429723,0.326404990,1.743702531,-0.001408856,-0.002870187,0.015211861,0.999878350,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.742858684,0.000000000,4.170087814
1772682920.888780117,0.013828000,0.006795000,0.054098000,-0.002277780,0.000193920,0.020523690,0.999786750,-0.004547000,0.000481000,0.041049000,0.000002059,-0.000017890,0.000279565,0.008218309,-0.008440553,0.008665643,0.010969687,0.000654591,1.000280008,0.000579210,0.001765540,0.002096461,0.000000000,0.000000000,0.000000000,0.000000000,0.014094596,0.006799043,0.054064064,0.012808403,0.001951600,-0.000149836,0.005367286,0.004300170,0.000530301,-0.166042709,0.326593100,1.742291419,-0.001405489,-0.002871760,0.015199554,0.999878530,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.741363551,0.000000000,4.170087814
1772682920.898779631,0.013877000,0.006745000,0.054061000,-0.002306940,0.001306030,0.020380300,0.999788790,-0.004560000,0.002706000,0.040757000,-0.000486578,0.000410004,0.000273990,0.000807280,-0.028192289,0.018399184,0.009543691,-0.001146572,1.000829662,0.001663360,0.005014773,0.000573058,0.000000000,0.000000000,0.000000000,0.000000000,0.014091498,0.006812367,0.054076487,0.012879729,0.002337802,-0.000040282,0.003281986,0.002431277,0.000452086,-0.165767374,0.327259969,1.740761908,-0.001403037,-0.002877523,0.015186207,0.999878772,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.739963231,0.000000000,4.170087814
