t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772729810.803679228,0.013979000,0.006085000,0.054318000,-0.006950350,0.015636540,0.010887110,0.999794310,-0.013564000,0.031423000,0.021565000,-0.012910055,-0.012905743,0.025886136,-0.695352779,0.945998024,-0.260434851,0.007757199,-0.006837662,1.002039330,0.001212960,-0.001995895,-0.001836704,0.000000000,0.000000000,0.000000000,0.000000000,0.014662378,0.006178733,0.054474874,0.037940088,0.008605686,0.001010123,0.012429540,0.000872986,0.002291575,-0.468497064,-0.227985752,0.843361897,-0.004102917,0.001959392,0.007367705,0.999961503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.813679218,0.013922000,0.006020000,0.054444000,-0.007973770,0.017008090,0.010548410,0.999767910,-0.015595000,0.034183000,0.020834000,-0.002536269,-0.004107483,0.006741945,-0.206941723,0.271639540,-0.077795464,0.007963754,-0.006916378,1.002131933,0.001044546,-0.002012707,-0.002683934,0.000000000,0.000000000,0.000000000,0.000000000,0.014660192,0.006169046,0.054481127,0.038014409,0.008487799,0.001195145,0.012310971,0.001180716,0.001864456,-0.468365929,-0.228366624,0.843586990,-0.004101801,0.001962716,0.007369680,0.999961642,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.823679447,0.013914000,0.006004000,0.054465000,-0.008766680,0.017997110,0.010229370,0.999747270,-0.017173000,0.036172000,0.020153000,0.002634132,0.000748233,-0.003201421,0.059739716,-0.095478743,0.023317422,0.008083071,-0.007487895,0.999953441,-0.001011207,-0.001052089,-0.001396449,0.000000000,0.000000000,0.000000000,0.000000000,0.014663465,0.006165908,0.054475829,0.038070553,0.008387245,0.001257342,0.011913992,0.001111097,0.000103426,-0.467389102,-0.225851665,0.842131023,-0.004093090,0.001940885,0.007356869,0.999961769,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.833679914,0.013925000,0.005988000,0.054468000,-0.009339240,0.018636960,0.010045330,0.999732230,-0.018313000,0.037460000,0.019752000,0.003910940,0.002578188,-0.006203405,0.155898981,-0.226138359,0.061218954,0.010345903,-0.005163782,1.001248235,-0.004023588,-0.003697205,0.001171520,0.000000000,0.000000000,0.000000000,0.000000000,0.014670157,0.006164245,0.054473125,0.038171845,0.008319356,0.001247584,0.013983341,0.002435809,0.001009459,-0.466906282,-0.225247862,0.841497195,-0.004088828,0.001935669,0.007351309,0.999961793,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.843679905,0.014001000,0.006042000,0.054354000,-0.008017490,0.016734530,0.010508220,0.999772600,-0.015689000,0.033636000,0.020757000,0.002603946,0.002299167,-0.004523450,0.132719954,-0.191126228,0.054292096,0.009416820,-0.005563554,1.001413251,0.001537564,-0.001566083,-0.001068693,0.000000000,0.000000000,0.000000000,0.000000000,0.014683663,0.006169335,0.054461358,0.038393020,0.008362852,0.001232397,0.013497166,0.002494505,0.001160798,-0.466967138,-0.223673127,0.841028916,-0.004089250,0.001921940,0.007347168,0.999961958,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.853679895,0.014002000,0.006061000,0.054333000,-0.007058370,0.015602610,0.010947050,0.999793430,-0.013779000,0.031358000,0.021682000,0.000022941,0.000827953,-0.000420999,0.041356317,-0.061254375,0.020875823,0.007383482,-0.006138062,1.002012119,0.002641321,0.002231122,-0.000743764,0.000000000,0.000000000,0.000000000,0.000000000,0.014703787,0.006192360,0.054419683,0.038568772,0.008478486,0.001100040,0.011418713,0.002232952,0.002440655,-0.466587519,-0.222468883,0.839526961,-0.004085835,0.001911510,0.007334012,0.999962130,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.863680363,0.014004000,0.006077000,0.054321000,-0.006422550,0.014742850,0.011162510,0.999808380,-0.012519000,0.029628000,0.022143000,-0.001193533,-0.000137316,0.001574477,-0.022905451,0.032724743,-0.006211542,0.006922997,-0.006101304,0.999943823,0.001841331,0.003000225,0.001059914,0.000000000,0.000000000,0.000000000,0.000000000,0.014710621,0.006215149,0.054386554,0.038533943,0.008542100,0.001066124,0.010797172,0.002024147,-0.000117309,-0.465697781,-0.221902737,0.837451623,-0.004078000,0.001906700,0.007315867,0.999962211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.873680830,0.013920000,0.006023000,0.054447000,-0.007790660,0.016476250,0.010685110,0.999776810,-0.015235000,0.033118000,0.021122000,-0.000866046,-0.000207731,0.001114065,-0.047207382,0.073288806,-0.021042507,0.006990836,-0.006562203,0.998972999,-0.000022842,0.003002426,0.001925869,0.000000000,0.000000000,0.000000000,0.000000000,0.014694665,0.006207607,0.054409497,0.038373105,0.008470457,0.001097187,0.010858774,0.001379292,-0.000565606,-0.464296450,-0.222131392,0.836342484,-0.004065768,0.001908824,0.007306173,0.999962211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.883680820,0.013920000,0.006013000,0.054476000,-0.008880670,0.018078020,0.010274710,0.999744340,-0.017398000,0.036337000,0.020238000,-0.000647320,-0.000509635,0.001290910,-0.066938617,0.104079252,-0.035433139,0.007131819,-0.007779751,1.001112987,-0.002669083,0.003163765,0.000611977,0.000000000,0.000000000,0.000000000,0.000000000,0.014675680,0.006190272,0.054443772,0.038225368,0.008305889,0.001184379,0.011072840,0.001316130,0.000121079,-0.464376412,-0.223363678,0.836462010,-0.004066546,0.001919568,0.007307261,0.999962238,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
1772729810.893680334,0.013936000,0.006025000,0.054443000,-0.009217670,0.018444880,0.010093310,0.999736440,-0.018072000,0.037075000,0.019856000,0.000809325,0.000418571,-0.001095339,-0.003771051,0.019496363,-0.015322642,0.007101813,-0.004904150,1.000471677,-0.001723517,0.000954723,0.000373507,0.000000000,0.000000000,0.000000000,0.000000000,0.014665747,0.006170149,0.054469158,0.038128062,0.008159331,0.001242582,0.010885500,0.003221667,0.000481388,-0.465344288,-0.224636673,0.835678476,-0.004075060,0.001930643,0.007300485,0.999962269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860582650,0.000000000,4.106744766
