t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772687567.493438482,0.018055000,0.010845000,0.054397000,-0.013973840,-0.021271180,-0.005198380,-0.999662570,0.028188000,0.042395000,0.010998000,-0.002994447,-0.000348990,0.005237554,-0.302391667,0.423796522,-0.129742219,0.009503513,0.000283388,1.001669237,-0.000476028,0.001989584,0.002170458,0.000000000,0.000000000,0.000000000,0.000000000,0.018901294,0.010462905,0.054425564,0.044494390,-0.019016578,0.000685155,0.013531432,-0.006536309,0.001290370,0.397598487,-0.189610401,0.387344734,0.003464073,0.001666373,0.003374445,0.999985933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.386830985,0.000000000,4.001173019
1772687567.503438711,0.017991000,0.010818000,0.054495000,-0.012475990,-0.023376720,-0.004526550,-0.999638630,0.025185000,0.046641000,0.009644000,-0.000665308,0.000195649,0.000364355,-0.104085859,0.125271375,-0.041667783,0.008969093,0.000750973,1.001772927,-0.000243080,0.002586376,-0.000152414,0.000000000,0.000000000,0.000000000,0.000000000,0.018915698,0.010465700,0.054418033,0.044550773,-0.019101099,0.000760919,0.011782565,-0.006164059,0.001115601,0.397600684,-0.190353683,0.388070209,0.003464060,0.001672881,0.003380753,0.999985898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387636712,0.000000000,4.001173019
1772687567.513438702,0.018046000,0.010847000,0.054410000,-0.012702460,-0.022767840,-0.004760760,-0.999648740,0.025642000,0.045414000,0.010107000,0.000670358,0.000424437,-0.002033432,0.014219988,-0.046639478,0.008696712,0.010135661,0.000252963,1.001186403,-0.000660766,0.001277367,-0.001507927,0.000000000,0.000000000,0.000000000,0.000000000,0.018920486,0.010469561,0.054412217,0.044501069,-0.019178240,0.000829896,0.013159624,-0.005350230,0.001259541,0.396265661,-0.191660824,0.388000335,0.003452372,0.001684246,0.003380123,0.999985909,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.388227473,0.000000000,4.001173019
1772687567.523438692,0.018043000,0.010857000,0.054386000,-0.013079820,-0.022236240,-0.004877190,-0.999655280,0.026397000,0.044344000,0.010343000,0.001219543,0.000421290,-0.002566300,0.069244133,-0.119721918,0.029658062,0.011037483,-0.001123350,1.000035551,-0.000879943,-0.002306542,-0.001259551,0.000000000,0.000000000,0.000000000,0.000000000,0.018919321,0.010475400,0.054406033,0.044489682,-0.019224355,0.000873451,0.014343522,-0.008218881,0.000590716,0.395732820,-0.192101121,0.387900829,0.003447711,0.001688070,0.003379249,0.999985962,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387882162,0.000000000,4.001173019
1772687567.533438683,0.018051000,0.010849000,0.054379000,-0.013395370,-0.021776680,-0.004972380,-0.999660750,0.027027000,0.043419000,0.010535000,0.001189240,0.000270125,-0.001844738,0.077738943,-0.121716720,0.029562886,0.010190946,-0.000090231,0.999579756,-0.000759252,-0.001775629,0.000132437,0.000000000,0.000000000,0.000000000,0.000000000,0.018912108,0.010479139,0.054402072,0.044577809,-0.019397720,0.000846054,0.013817116,-0.006996984,-0.000130893,0.395089506,-0.191422673,0.387790068,0.003442119,0.001682127,0.003378313,0.999986015,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387714648,0.000000000,4.001173019
1772687567.543439150,0.018059000,0.010841000,0.054388000,-0.013465690,-0.021516070,-0.004928170,-0.999665670,0.027163000,0.042898000,0.010442000,0.000786442,0.000054856,-0.000479235,0.056455631,-0.080374917,0.016733854,0.009241583,0.002366225,0.999813535,0.000562417,-0.000117519,0.001886490,0.000000000,0.000000000,0.000000000,0.000000000,0.018914211,0.010473461,0.054397391,0.044655868,-0.019595765,0.000746976,0.012738248,-0.004340030,-0.000380794,0.393896768,-0.190262174,0.386913115,0.003431757,0.001671939,0.003370712,0.999986053,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.386323171,0.000000000,4.001173019
1772687567.553439140,0.018049000,0.010850000,0.054384000,-0.013658820,-0.021210730,-0.004985320,-0.999669290,0.027548000,0.042284000,0.010556000,0.000023271,-0.000244581,0.000935607,0.025586852,-0.031711156,-0.000585751,0.009685258,0.002447568,0.998861766,-0.004836010,0.000899952,0.001105830,0.000000000,0.000000000,0.000000000,0.000000000,0.018917205,0.010466519,0.054399697,0.044631122,-0.019515430,0.000691359,0.012979339,-0.003958044,-0.001226212,0.393966067,-0.189277661,0.386035488,0.003432404,0.001663323,0.003363082,0.999986103,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.385896426,0.000000000,4.001173019
1772687567.563439131,0.018061000,0.010845000,0.054401000,-0.013804840,-0.021280100,-0.005010320,-0.999665680,0.027842000,0.042420000,0.010615000,0.000344367,0.000284635,-0.000116220,0.028654055,-0.044580645,0.006740076,0.010903711,0.002401043,0.998134103,0.000640544,0.000234424,0.000069396,0.000000000,0.000000000,0.000000000,0.000000000,0.018919666,0.010468891,0.054401791,0.044643573,-0.019385904,0.000560066,0.014249619,-0.004095771,-0.001547803,0.392629006,-0.189107013,0.386281824,0.003420738,0.001661802,0.003365257,0.999986172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.386560297,0.000000000,4.001173019
1772687567.573439598,0.018063000,0.010846000,0.054398000,-0.013840030,-0.021140930,-0.004985970,-0.999668270,0.027910000,0.042142000,0.010563000,-0.000520980,0.000035936,0.000431780,0.002343587,-0.013178849,0.001722217,0.011413441,0.001808593,1.001741354,-0.000269618,0.000166855,-0.000438466,0.000000000,0.000000000,0.000000000,0.000000000,0.018925002,0.010465692,0.054403440,0.044790071,-0.019292276,0.000375364,0.014860033,-0.005298879,0.000881330,0.390938059,-0.189148034,0.386395796,0.003405979,0.001662113,0.003366274,0.999986144,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.386258390,0.000000000,4.001173019
1772687567.583439112,0.018061000,0.010852000,0.054397000,-0.013808040,-0.021061220,-0.004935710,-0.999670650,0.027843000,0.041985000,0.010459000,-0.000975234,-0.000440133,0.000723350,-0.027985309,0.024951883,-0.008914133,0.010639015,0.002159389,1.001266114,-0.000665814,0.000050152,-0.002296174,0.000000000,0.000000000,0.000000000,0.000000000,0.018930486,0.010464915,0.054402255,0.044969011,-0.019287317,0.000492128,0.013704688,-0.004606177,0.001797778,0.390312466,-0.189908910,0.386760714,0.003400491,0.001668746,0.003369445,0.999986168,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387084959,0.000000000,4.001173019
