t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772424689.277293682,0.016920000,0.008786000,0.053685000,0.002377330,-0.003319900,-0.014717420,-0.999883360,-0.004657000,0.006709000,0.029421000,0.001184053,-0.000284519,0.000065929,-0.005028525,-0.013532148,0.000839443,0.010288346,-0.002038977,1.001169494,0.000082796,0.000504746,-0.001702524,0.000000000,0.000000000,0.000000000,0.000000000,0.017084567,0.008814313,0.053689514,0.014098772,0.002509718,0.000304185,0.005341829,0.000076299,-0.000081283,-0.148733817,0.320264799,1.186198536,-0.001268941,-0.002808120,0.010347664,0.999940727,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.184669212,0.000000000,4.180645466
1772424689.287293434,0.016922000,0.008789000,0.053680000,0.002409860,-0.003571530,-0.014674040,-0.999883050,-0.004714000,0.007213000,0.029332000,-0.000022941,-0.000002700,0.000025253,-0.005535926,0.030000742,-0.000023460,0.010455498,-0.002163924,1.001374208,0.000334965,-0.000233009,-0.001654259,0.000000000,0.000000000,0.000000000,0.000000000,0.017066463,0.008811659,0.053688091,0.014041168,0.002509924,0.000287778,0.005457446,-0.000042889,-0.000250532,-0.148936612,0.319830003,1.185759878,-0.001270761,-0.002804340,0.010343836,0.999940750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.184441676,0.000000000,4.180645466
1772424689.297293425,0.016915000,0.008792000,0.053683000,0.002476980,-0.003472580,-0.014721270,-0.999882540,-0.004851000,0.007017000,0.029427000,-0.000406974,0.000063151,-0.000008197,-0.006506104,0.038026493,-0.002384109,0.010310274,-0.002903246,0.999391790,-0.002386992,-0.001169834,0.001471039,0.000000000,0.000000000,0.000000000,0.000000000,0.017057717,0.008812085,0.053687031,0.014057453,0.002499079,0.000319162,0.004770720,-0.000029552,-0.000529042,-0.149440131,0.319084410,1.184328464,-0.001275257,-0.002797863,0.010331342,0.999940868,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.184232697,0.000000000,4.180645466
1772424689.307293892,0.016920000,0.008783000,0.053685000,0.002488130,-0.003807030,-0.014715020,-0.999881380,-0.004864000,0.007686000,0.029413000,-0.000205109,-0.000026127,-0.000023232,-0.007498566,0.020831456,-0.005544834,0.009082994,-0.002719891,0.998534313,-0.001242953,-0.001828947,-0.000766890,0.000000000,0.000000000,0.000000000,0.000000000,0.017056244,0.008812037,0.053686865,0.014104294,0.002447141,0.000312621,0.002815801,0.000406680,-0.001035898,-0.149691033,0.319691612,1.184283017,-0.001277392,-0.002803184,0.010330932,0.999940900,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.184288983,0.000000000,4.180645466
1772424689.317293882,0.016930000,0.008778000,0.053688000,0.002456980,-0.003749420,-0.014620400,-0.999883070,-0.004804000,0.007570000,0.029224000,0.000345591,-0.000209693,-0.000008664,-0.008070432,-0.011297901,-0.008787894,0.009290651,-0.000851621,0.999169874,0.000646203,0.001917548,-0.000110878,0.000000000,0.000000000,0.000000000,0.000000000,0.017059039,0.008808173,0.053687918,0.014084457,0.002373682,0.000196309,0.003630617,0.001763579,-0.001146929,-0.149273202,0.320401117,1.182958050,-0.001273715,-0.002809323,0.010319372,0.999940966,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.182733690,0.000000000,4.180645466
1772424689.327294350,0.016920000,0.008786000,0.053683000,0.002563220,-0.003621680,-0.014570250,-0.999884000,-0.005020000,0.007317000,0.029123000,0.001008062,-0.000426710,0.000046698,-0.007775053,-0.048071568,-0.011409788,0.009744040,0.000303798,1.000190865,0.002973188,-0.002367547,-0.001005999,0.000000000,0.000000000,0.000000000,0.000000000,0.017109507,0.008813680,0.053689029,0.014157380,0.002430973,0.000093829,0.003483810,0.002940238,-0.000225049,-0.149146168,0.319633702,1.182299207,-0.001272692,-0.002802607,0.010313634,0.999941078,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.182230100,0.000000000,4.180645466
1772424689.337294340,0.016923000,0.008788000,0.053679000,0.002610330,-0.003395130,-0.014577530,-0.999884570,-0.005121000,0.006866000,0.029139000,0.001206392,-0.000534402,0.000189550,-0.004899080,-0.068881650,-0.012149455,0.010637607,-0.000688028,1.000371690,0.000476872,-0.000115468,-0.002591086,0.000000000,0.000000000,0.000000000,0.000000000,0.017203641,0.008831394,0.053688780,0.014400376,0.002657766,0.000062046,0.005157864,0.002621589,0.000875134,-0.148454557,0.320712899,1.181289723,-0.001266584,-0.002811951,0.010304831,0.999941135,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.181141125,0.000000000,4.180645466
1772424689.347294331,0.016963000,0.008768000,0.053687000,0.002629050,-0.002923100,-0.014463540,-0.999887670,-0.005173000,0.005922000,0.028913000,0.001252934,-0.000628827,0.000524204,-0.001411880,-0.079526675,-0.009162406,0.010912956,-0.003506316,1.000370515,-0.001150168,0.003893186,-0.000391602,0.000000000,0.000000000,0.000000000,0.000000000,0.017154123,0.008822297,0.053686178,0.014322941,0.002793404,0.000100216,0.005905041,-0.001314754,0.000452369,-0.148712212,0.320026241,1.179666350,-0.001268934,-0.002805964,0.010290667,0.999941262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.179469138,0.000000000,4.180645466
1772424689.357294321,0.016973000,0.008759000,0.053692000,0.002632120,-0.002281970,-0.014407870,-0.999890130,-0.005198000,0.004639000,0.028805000,0.001030226,-0.000569872,0.000617192,0.003817075,-0.063823018,-0.005796280,0.011378532,-0.003353726,1.000427059,0.000410664,0.001661400,-0.001080348,0.000000000,0.000000000,0.000000000,0.000000000,0.017161556,0.008817714,0.053686417,0.014499619,0.002626542,0.000158735,0.005143407,-0.000794971,0.000996691,-0.148602692,0.318595349,1.179554345,-0.001268110,-0.002793467,0.010289708,0.999941349,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.179405561,0.000000000,4.180645466
1772424689.367294788,0.016975000,0.008760000,0.053701000,0.002493840,-0.002161720,-0.014416850,-0.999890630,-0.004925000,0.004395000,0.028824000,0.000647067,-0.000454624,0.000504701,0.009006545,-0.040192377,-0.005164747,0.010119172,-0.002684300,1.000234098,0.000068847,-0.000971897,0.000686236,0.000000000,0.000000000,0.000000000,0.000000000,0.017157438,0.008805938,0.053692575,0.014587505,0.002424907,0.000245642,0.005152747,0.000577077,-0.000250802,-0.148015638,0.317808089,1.178292677,-0.001263088,-0.002786531,0.010278722,0.999941471,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.178110366,0.000000000,4.180645466
