t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772684138.621172667,0.013418000,0.004148000,0.071576000,-0.009517880,-0.020901530,0.000479430,-0.999736120,0.019028000,0.041813000,-0.000561000,0.002361832,-0.003159074,0.001656451,-0.036523452,-0.040634089,-0.006848550,0.020037611,-0.005270801,0.999377748,0.001442712,0.000905648,0.001231299,0.000000000,0.000000000,0.000000000,0.000000000,0.013916664,0.003967825,0.071585348,0.050701638,-0.018258664,0.000041939,0.016061022,-0.007378017,-0.000760157,0.121510251,0.208897718,-0.030460095,0.001059889,-0.001823258,-0.000263881,0.999996723,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.030471451,0.000000000,4.185924053
1772684138.631171942,0.013420000,0.004134000,0.071584000,-0.009309270,-0.020891890,0.000600960,-0.999738220,0.018606000,0.041796000,-0.000813000,0.000769406,-0.000841706,0.000916823,-0.013559964,-0.003609217,-0.015641410,0.019458212,-0.004465998,1.000490624,0.002664668,-0.000122874,0.000657169,0.000000000,0.000000000,0.000000000,0.000000000,0.013917575,0.003962021,0.071587922,0.050774407,-0.018486145,0.000023209,0.016140373,-0.006727021,0.000278862,0.122681980,0.209030767,-0.030636155,0.001070112,-0.001824424,-0.000265397,0.999996722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.030514110,0.000000000,4.185924053
1772684138.641171932,0.013432000,0.004128000,0.071594000,-0.009320810,-0.020853020,0.000645710,-0.999738890,0.018627000,0.041719000,-0.000903000,-0.000121970,0.000370649,0.000361578,-0.000237304,0.015823875,-0.017188201,0.017668486,-0.003436350,1.000618231,0.001313476,-0.002008456,-0.000701205,0.000000000,0.000000000,0.000000000,0.000000000,0.013923206,0.003955495,0.071586086,0.050898554,-0.018658373,-0.000005235,0.014340593,-0.005828119,0.000721784,0.122361323,0.209155989,-0.032176873,0.001067288,-0.001825530,-0.000278846,0.999996722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.031886669,0.000000000,4.185924053
1772684138.651171446,0.013431000,0.004139000,0.071594000,-0.009373470,-0.020907410,0.000706720,-0.999737220,0.018730000,0.041829000,-0.001022000,-0.000468241,0.000744426,-0.000024670,0.005664400,0.021673019,-0.013488577,0.017678346,-0.001539407,1.000011396,-0.001496297,-0.000284050,-0.000236946,0.000000000,0.000000000,0.000000000,0.000000000,0.013930269,0.003956767,0.071582208,0.050868026,-0.018728633,0.000067682,0.013961940,-0.003858530,-0.000123964,0.123134553,0.209031659,-0.033797298,0.001074010,-0.001824462,-0.000292976,0.999996722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.033827908,0.000000000,4.185924053
1772684138.661170721,0.013429000,0.004133000,0.071599000,-0.009465100,-0.021061670,0.000706520,-0.999733120,0.018913000,0.042138000,-0.001015000,-0.000425350,0.000546057,-0.000257304,0.006359252,0.017948718,-0.006531683,0.017844807,-0.001594145,0.998109699,0.000477351,0.002611102,0.002890544,0.000000000,0.000000000,0.000000000,0.000000000,0.013925502,0.003961437,0.071581431,0.050702564,-0.018636365,0.000115903,0.014242828,-0.003733321,-0.001516495,0.123073911,0.207542666,-0.034159908,0.001073479,-0.001811471,-0.000296155,0.999996722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.034037701,0.000000000,4.185924053
1772684138.671170235,0.013422000,0.004147000,0.071590000,-0.009379850,-0.021214550,0.000829810,-0.999730600,0.018737000,0.042446000,-0.001262000,-0.000149243,0.000041978,-0.000351710,0.004054945,0.008663100,0.001693640,0.019154122,-0.003059882,0.999101425,0.000697130,-0.001307662,0.002228704,0.000000000,0.000000000,0.000000000,0.000000000,0.013916717,0.003963548,0.071580539,0.050604742,-0.018394275,0.000021377,0.015142427,-0.004915740,-0.001259808,0.122497637,0.206480076,-0.033576569,0.001068463,-0.001802192,-0.000291084,0.999996736,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.033844354,0.000000000,4.185924053
1772684138.681170464,0.013418000,0.004145000,0.071583000,-0.009332290,-0.021072620,0.000753340,-0.999734110,0.018646000,0.042161000,-0.001114000,0.000056138,-0.000212821,-0.000341550,0.001358762,-0.002319811,0.006602643,0.018535262,-0.001987336,1.000078752,-0.002521252,-0.001727902,0.000456492,0.000000000,0.000000000,0.000000000,0.000000000,0.013912785,0.003965332,0.071581113,0.050595779,-0.018301609,-0.000111606,0.015167705,-0.004777691,-0.000143037,0.121852374,0.206274679,-0.032730795,0.001062846,-0.001800390,-0.000283715,0.999996781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.032667995,0.000000000,4.185924053
1772684138.691170692,0.013414000,0.004142000,0.071580000,-0.009439550,-0.021115990,0.000732590,-0.999732200,0.018861000,0.042247000,-0.001067000,0.000236325,-0.000381760,-0.000024204,0.003016585,-0.003697853,0.011015902,0.017815079,-0.003171853,0.999527812,0.000861181,-0.002038508,0.000506807,0.000000000,0.000000000,0.000000000,0.000000000,0.013914123,0.003965772,0.071583213,0.050609919,-0.018220014,-0.000155637,0.014426588,-0.004970259,-0.000036062,0.121105560,0.206106538,-0.032989345,0.001056325,-0.001798923,-0.000285985,0.999996781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.033016360,0.000000000,4.185924053
1772684138.701170683,0.013431000,0.004123000,0.071590000,-0.009427670,-0.021172640,0.000611750,-0.999731200,0.018842000,0.042358000,-0.000825000,0.000325214,-0.000365657,0.000126360,0.006660925,-0.000473005,0.014316285,0.017593217,-0.003939618,1.000242096,-0.000081175,-0.000863233,-0.000196205,0.000000000,0.000000000,0.000000000,0.000000000,0.013917123,0.003965521,0.071586389,0.050595361,-0.018149550,-0.000152217,0.013977248,-0.006134893,-0.000183822,0.121169397,0.205667851,-0.032979666,0.001056883,-0.001795095,-0.000285903,0.999996781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.032826473,0.000000000,4.185924053
1772684138.711170912,0.013444000,0.004124000,0.071584000,-0.009482390,-0.020882490,0.000531700,-0.999736830,0.018955000,0.041776000,-0.000668000,0.000186189,-0.000098232,0.000142541,0.008252514,0.002659961,0.008435872,0.018486104,-0.003740845,1.000768392,-0.002106462,-0.000386168,-0.001582728,0.000000000,0.000000000,0.000000000,0.000000000,0.013921198,0.003963400,0.071588440,0.050535560,-0.018197738,-0.000148406,0.014562979,-0.005746377,0.001309547,0.121293602,0.205443475,-0.034704259,0.001057941,-0.001793153,-0.000300953,0.999996781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.034539790,0.000000000,4.185924053
