t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772659498.199367285,0.016280000,0.006344000,0.058254000,-0.007863330,0.013581880,0.022170440,0.999631020,-0.015125000,0.027506000,0.044142000,-0.002850585,0.004976831,-0.002636619,0.002805078,0.036303908,0.006527066,0.011268475,0.001760138,0.997988988,-0.001797298,0.000806673,-0.000867841,0.000000000,0.000000000,0.000000000,0.000000000,0.016857878,0.006672352,0.058177879,0.031929879,0.015038230,-0.003930706,0.009390317,0.003655098,-0.001369371,-0.137956968,0.122768032,1.874758754,-0.001186211,-0.001090905,0.016358300,0.999863235,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.874350841,0.000000000,4.032844543
1772659498.209367037,0.016287000,0.006345000,0.058249000,-0.007845010,0.013591590,0.022369410,0.999626600,-0.015082000,0.027527000,0.044540000,-0.001350817,0.001806665,-0.000852002,0.001066597,0.012901031,-0.000250285,0.010493965,0.001503539,0.997041789,0.000431019,0.000119392,0.001440184,0.000000000,0.000000000,0.000000000,0.000000000,0.016876363,0.006655947,0.058176526,0.031972073,0.014948234,-0.003939115,0.008558252,0.004819314,-0.002813212,-0.137738222,0.123159646,1.877516568,-0.001184221,-0.001094320,0.016382361,0.999863016,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.878231254,0.000000000,4.032844543
1772659498.219367504,0.016268000,0.006374000,0.058240000,-0.007846690,0.013813330,0.022249930,0.999626210,-0.015079000,0.027969000,0.044298000,-0.000743357,0.000296523,0.000187277,-0.002672812,-0.002967103,-0.015502582,0.009812349,0.000781013,0.998262063,-0.000493696,-0.001627353,0.002577005,0.000000000,0.000000000,0.000000000,0.000000000,0.016900049,0.006650087,0.058174957,0.031960590,0.014910602,-0.004033008,0.007856985,0.003424046,-0.002914718,-0.136008652,0.124458013,1.880442053,-0.001168915,-0.001105431,0.016407891,0.999862969,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.880988289,0.000000000,4.032844543
1772659498.229367495,0.016260000,0.006375000,0.058228000,-0.007809400,0.013588460,0.022250400,0.999629570,-0.015015000,0.027518000,0.044303000,-0.000748486,-0.000013034,0.000641356,-0.007545659,-0.012234902,-0.034763221,0.009522521,0.000792994,0.999697122,-0.001498407,0.000135392,0.000467826,0.000000000,0.000000000,0.000000000,0.000000000,0.016919733,0.006655365,0.058169611,0.031850315,0.014832054,-0.004069000,0.006811212,0.003226615,-0.000261201,-0.134153453,0.126461663,1.885274535,-0.001152393,-0.001122697,0.016450055,0.999861997,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.886174488,0.000000000,4.032844543
1772659498.239368200,0.016192000,0.006415000,0.058255000,-0.008095590,0.013656320,0.021409150,0.999644740,-0.015607000,0.027653000,0.042611000,-0.001086481,0.000418551,0.000670377,-0.012654813,-0.015829507,-0.053575170,0.009887631,-0.000202058,0.999234368,0.000113569,0.001811076,0.000134443,0.000000000,0.000000000,0.000000000,0.000000000,0.016895479,0.006657540,0.058164343,0.031502254,0.014707960,-0.003947734,0.007656783,0.003096877,-0.000668918,-0.133384224,0.129251522,1.890294496,-0.001145231,-0.001146979,0.016493835,0.999861452,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.890805636,0.000000000,4.032844543
1772659498.249368668,0.016258000,0.006361000,0.058257000,-0.007864160,0.013388170,0.021790950,0.999641970,-0.015145000,0.027113000,0.043385000,-0.001477624,0.001131839,0.000434480,-0.017192763,-0.014700272,-0.067454196,0.010752978,-0.001237344,0.998535922,0.000786541,-0.000080973,0.000286704,0.000000000,0.000000000,0.000000000,0.000000000,0.016868838,0.006664533,0.058163708,0.031256394,0.014559349,-0.003873887,0.008145499,0.001194039,-0.001648468,-0.133439627,0.130773870,1.894232854,-0.001145455,-0.001160310,0.016528182,0.999861182,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.894887668,0.000000000,4.032844543
1772659498.259369135,0.016196000,0.006416000,0.058263000,-0.008232840,0.013518310,0.021043190,0.999653270,-0.015898000,0.027377000,0.041877000,-0.000583742,0.000480925,0.000223485,-0.019116118,-0.010172465,-0.054683393,0.011971760,-0.000615763,0.998824175,0.000381611,0.000788762,-0.001371249,0.000000000,0.000000000,0.000000000,0.000000000,0.016838496,0.006676087,0.058172165,0.031090253,0.014395818,-0.003832909,0.009649821,0.001826861,-0.001200919,-0.133036940,0.131309776,1.894315516,-0.001141864,-0.001164929,0.016528900,0.999861031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.894190325,0.000000000,4.032844543
1772659498.269369125,0.016256000,0.006372000,0.058253000,-0.008102550,0.013354200,0.021302230,0.999651050,-0.015637000,0.027048000,0.042401000,-0.001076944,0.000438617,0.000780615,-0.040222568,0.029327930,-0.060343500,0.013177696,0.000895373,0.998398990,-0.000783763,-0.000699929,-0.002545907,0.000000000,0.000000000,0.000000000,0.000000000,0.016846510,0.006658443,0.058179656,0.031215731,0.014134617,-0.003763463,0.010467253,0.003024403,-0.001516182,-0.133113249,0.131001945,1.892281985,-0.001142594,-0.001162233,0.016511160,0.999861302,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.891831210,0.000000000,4.032844543
1772659498.279369116,0.016181000,0.006439000,0.058254000,-0.008306760,0.013444660,0.020629990,0.999662260,-0.016060000,0.027226000,0.041049000,-0.000483975,0.000247689,0.000045280,-0.032375994,0.029562237,-0.044582119,0.012301080,0.000852448,0.998246616,-0.000770151,-0.005783427,0.001011106,0.000000000,0.000000000,0.000000000,0.000000000,0.016828430,0.006670808,0.058184287,0.031269370,0.014144649,-0.003758779,0.010370639,0.003403636,-0.001424530,-0.133591392,0.130401201,1.889041246,-0.001146886,-0.001157028,0.016482886,0.999861739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.888309852,0.000000000,4.032844543
1772659498.289369106,0.016163000,0.006445000,0.058253000,-0.008472960,0.013448950,0.020210950,0.999669370,-0.016404000,0.027235000,0.040206000,0.001250895,0.000249864,-0.001873079,0.036370652,-0.048118182,0.007343804,0.011940811,0.003156756,0.997579023,0.002033187,-0.001368653,0.000991135,0.000000000,0.000000000,0.000000000,0.000000000,0.016840489,0.006661354,0.058183825,0.031426372,0.014069150,-0.003766860,0.009478555,0.004589136,-0.001775970,-0.133810474,0.130814381,1.885040778,-0.001148779,-0.001160625,0.016447972,0.999862340,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.884718042,0.000000000,4.032844543
