t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772426880.881043911,0.014461000,0.008020000,0.053684000,-0.002375470,0.002262410,-0.000952310,0.999994170,-0.004755000,0.004520000,-0.001915000,0.003937824,-0.002451848,0.000564220,-0.010519750,-0.023985567,0.002030219,0.009054780,-0.001740732,0.999559290,0.001164426,0.002410757,-0.002462175,0.000000000,0.000000000,0.000000000,0.000000000,0.014741000,0.008055768,0.053737224,0.013953599,0.002619570,0.002374165,0.003343686,-0.000609045,-0.000369004,-0.069486139,0.315165103,-0.076871208,-0.000608223,-0.002749926,-0.000672492,0.999994772,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076890296,0.000000000,3.995894432
1772426880.891044378,0.014473000,0.008006000,0.053682000,-0.002372190,0.002341820,-0.000981330,0.999993960,-0.004749000,0.004679000,-0.001974000,0.001235724,-0.000895436,0.000453497,0.000414121,-0.030287007,0.002410712,0.009540384,-0.000776206,1.000806757,0.001747469,0.000857685,0.002461210,0.000000000,0.000000000,0.000000000,0.000000000,0.014743564,0.008053313,0.053735736,0.013935901,0.002516385,0.002272761,0.004136956,0.000288684,-0.000259307,-0.070192196,0.312850407,-0.077002363,-0.000614374,-0.002729722,-0.000673641,0.999994832,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076957010,0.000000000,3.995894432
1772426880.901043892,0.014483000,0.008003000,0.053686000,-0.002389480,0.002039670,-0.000910510,0.999994650,-0.004783000,0.004075000,-0.001831000,-0.000333159,0.000025894,0.000237879,0.004218704,-0.023889542,0.001922832,0.011031432,-0.000539994,1.000528609,0.000321001,-0.000821924,0.001418229,0.000000000,0.000000000,0.000000000,0.000000000,0.014745346,0.008053511,0.053734583,0.014000490,0.002525371,0.002142730,0.004958176,0.000672702,0.000267670,-0.070178901,0.311913205,-0.076902527,-0.000614250,-0.002721544,-0.000672765,0.999994874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076966203,0.000000000,3.995894432
1772426880.911043882,0.014484000,0.007999000,0.053699000,-0.002378280,0.001890920,-0.000914070,0.999994970,-0.004760000,0.003777000,-0.001837000,-0.001004488,0.000440113,-0.000018298,0.003018136,-0.009913614,0.000769788,0.011808722,0.000047830,1.000236272,-0.000070116,-0.000338238,0.000901905,0.000000000,0.000000000,0.000000000,0.000000000,0.014745637,0.008054179,0.053736358,0.014193035,0.002567517,0.002005921,0.006056681,0.000681852,0.001057286,-0.069327712,0.311451614,-0.077152110,-0.000606825,-0.002717519,-0.000674920,0.999994874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.077103957,0.000000000,3.995894432
1772426880.921043158,0.014478000,0.008009000,0.053693000,-0.002345740,0.001828110,-0.000966230,0.999995110,-0.004695000,0.003652000,-0.001941000,-0.001013929,0.000475195,-0.000250700,-0.001069642,0.006519462,-0.000848517,0.011519742,0.000392692,1.000617498,0.000915778,0.000649010,0.000170586,0.000000000,0.000000000,0.000000000,0.000000000,0.014747206,0.008054629,0.053733086,0.014396952,0.002607688,0.001957684,0.005165987,0.000782769,-0.000392280,-0.070071307,0.311097675,-0.076638143,-0.000613300,-0.002714429,-0.000670451,0.999994874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076741304,0.000000000,3.995894432
1772426880.931042910,0.014449000,0.008015000,0.053680000,-0.002337930,0.002193990,-0.000920380,0.999994440,-0.004680000,0.004384000,-0.001851000,-0.000597145,0.000259111,-0.000394989,-0.005921962,0.020288761,-0.002735265,0.012098269,-0.000868040,1.002081707,0.000383220,-0.005177387,-0.002737624,0.000000000,0.000000000,0.000000000,0.000000000,0.014746808,0.008060363,0.053725098,0.014545034,0.002611730,0.001904797,0.005573882,0.000131241,0.002097643,-0.070325583,0.308203984,-0.076428148,-0.000615497,-0.002689176,-0.000668609,0.999994962,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076429541,0.000000000,3.995894432
1772426880.941043139,0.014458000,0.008008000,0.053688000,-0.002421770,0.002006800,-0.000983850,0.999994570,-0.004848000,0.004009000,-0.001977000,-0.000091239,-0.000083411,-0.000204487,-0.006190111,0.019435710,-0.005491098,0.009482814,-0.001083051,1.000869192,-0.003940501,0.004390071,-0.002826870,0.000000000,0.000000000,0.000000000,0.000000000,0.014653970,0.008038499,0.053708303,0.012779122,0.001774417,0.001369995,0.003270135,-0.000063880,-0.000085740,-0.063828153,0.336924169,-0.076540071,-0.000558967,-0.002939844,-0.000669572,0.999994433,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076509322,0.000000000,3.995894432
1772426880.951043129,0.014447000,0.008018000,0.053671000,-0.002466570,0.002427750,-0.000954760,0.999993560,-0.004938000,0.004851000,-0.001922000,0.000316803,-0.000261461,0.000147417,-0.005767195,-0.000033690,-0.006080052,0.010769883,0.001205198,1.002000076,0.000003104,0.001585766,-0.001916745,0.000000000,0.000000000,0.000000000,0.000000000,0.014648994,0.008037029,0.053699239,0.013034316,0.001956083,0.001423245,0.004076365,0.001421257,0.000766191,-0.064855324,0.335071042,-0.077187237,-0.000567936,-0.002923663,-0.000675237,0.999994329,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.077031654,0.000000000,3.995894432
1772426880.961042881,0.014477000,0.008001000,0.053680000,-0.002514970,0.002367640,-0.001038630,0.999993500,-0.005035000,0.004730000,-0.002089000,0.000470708,-0.000418804,0.000494251,-0.000596592,-0.020774278,-0.007742388,0.010620709,0.000249783,1.002051068,0.001749720,0.000240872,-0.000433289,0.000000000,0.000000000,0.000000000,0.000000000,0.014696937,0.008039031,0.053710823,0.013368437,0.002216620,0.001605826,0.003944921,0.002209714,0.001602439,-0.063978907,0.334756629,-0.078107165,-0.000560309,-0.002920920,-0.000683241,0.999994338,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.078203705,0.000000000,3.995894432
1772426880.971042395,0.014476000,0.007999000,0.053695000,-0.002454230,0.001963270,-0.001065270,0.999994490,-0.004913000,0.003921000,-0.002140000,0.000422203,-0.000365832,0.000462666,0.005013391,-0.030701951,-0.007404052,0.010196153,-0.001606882,1.001817925,0.002588919,-0.000328714,0.000906666,0.000000000,0.000000000,0.000000000,0.000000000,0.014720015,0.008040595,0.053724675,0.013453817,0.002382775,0.001804654,0.004617108,0.000277164,0.002063166,-0.064318362,0.334151014,-0.077488052,-0.000563252,-0.002915636,-0.000677844,0.999994350,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.077513227,0.000000000,3.995894432
1772426880.981041908,0.014474000,0.007996000,0.053702000,-0.002394440,0.001808740,-0.001109740,0.999994880,-0.004793000,0.003612000,-0.002228000,-0.000101107,-0.000181896,0.000137957,0.010316205,-0.021127530,-0.005787177,0.010767121,-0.001584465,1.002257706,-0.000457638,0.001038502,-0.001532414,0.000000000,0.000000000,0.000000000,0.000000000,0.014723407,0.008044608,0.053728268,0.013673889,0.002291641,0.001976769,0.004936152,-0.000423367,0.002483943,-0.064309351,0.333739417,-0.076621661,-0.000563149,-0.002912048,-0.000670281,0.999994397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.076769537,0.000000000,3.995894432
