t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772662595.495331526,0.026218000,0.006711000,0.071117000,-0.001865890,0.004870470,0.006299010,0.999966560,-0.003670000,0.009764000,0.012580000,-0.000798214,0.001039861,-0.001382888,0.018718812,-0.071472663,-0.008677389,0.014387211,-0.003649722,1.000739654,-0.002082323,-0.004438740,0.000986071,0.000000000,0.000000000,0.000000000,0.000000000,0.026633345,0.006706399,0.071128806,0.021414266,-0.000380351,0.001011336,0.007905243,-0.001143084,0.000003780,-0.139051833,0.333312942,0.490884639,-0.001200978,-0.002913872,0.004280209,0.999984920,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.491030723,0.000000000,4.212316990
1772662595.505331516,0.026222000,0.006712000,0.071108000,-0.001877280,0.004836650,0.006238910,0.999967080,-0.003694000,0.009697000,0.012460000,-0.000357887,0.000128089,-0.000586151,0.002017944,-0.030832489,-0.002416402,0.014497473,-0.003122747,1.000948633,0.000084749,-0.001559035,-0.000592774,0.000000000,0.000000000,0.000000000,0.000000000,0.026630503,0.006709970,0.071130307,0.021584478,-0.000433985,0.001037199,0.009816178,-0.000788733,0.001091947,-0.139258836,0.334988557,0.491328508,-0.001202711,-0.002928507,0.004284059,0.999984834,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.491349202,0.000000000,4.212316990
1772662595.515331507,0.026210000,0.006715000,0.071103000,-0.001923670,0.004589030,0.006262280,0.999968010,-0.003790000,0.009202000,0.012507000,-0.000062549,-0.000287180,-0.000075311,-0.007408491,-0.002378942,0.002163604,0.012254136,-0.002148880,1.000931598,0.000199828,0.001672357,0.000122276,0.000000000,0.000000000,0.000000000,0.000000000,0.026627871,0.006710787,0.071133726,0.021774291,-0.000456899,0.001096575,0.006588404,0.000446568,0.000869590,-0.139508513,0.334968196,0.491324421,-0.001204890,-0.002928339,0.004284017,0.999984801,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.491310725,0.000000000,4.212316990
1772662595.525331974,0.026211000,0.006715000,0.071104000,-0.001867040,0.004556850,0.006280810,0.999968150,-0.003677000,0.009137000,0.012545000,0.000110179,-0.000338812,0.000196484,-0.010965743,0.015300119,0.005189242,0.010168982,-0.001962770,1.000975293,0.000008919,0.002016291,0.000637677,0.000000000,0.000000000,0.000000000,0.000000000,0.026631553,0.006710897,0.071134196,0.021687729,-0.000351438,0.001139891,0.004046856,0.000271486,0.000839589,-0.139695183,0.334282862,0.491622107,-0.001206537,-0.002922368,0.004286617,0.999984801,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.491804064,0.000000000,4.212316990
1772662595.535332441,0.026210000,0.006708000,0.071111000,-0.001865490,0.004704490,0.006339950,0.999967100,-0.003671000,0.009432000,0.012663000,0.000182673,-0.000159674,0.000276088,-0.010065251,0.023615095,0.006788189,0.011610630,-0.001102226,1.001412260,0.000831672,0.001215958,0.001495381,0.000000000,0.000000000,0.000000000,0.000000000,0.026634569,0.006710977,0.071129921,0.021455415,-0.000306275,0.001179231,0.005895225,0.001138407,0.001654415,-0.139644302,0.333403376,0.491513526,-0.001206129,-0.002914690,0.004285680,0.999984837,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.491473637,0.000000000,4.212316990
1772662595.545331955,0.026224000,0.006700000,0.071109000,-0.001988600,0.004842830,0.006356480,0.999966090,-0.003916000,0.009711000,0.012694000,0.000177312,0.000117366,0.000210354,-0.006118224,0.023974689,0.007097207,0.013828278,-0.000191168,0.999823656,-0.000726451,0.000498080,-0.000717007,0.000000000,0.000000000,0.000000000,0.000000000,0.026635845,0.006709195,0.071130063,0.021473497,-0.000064816,0.001246443,0.007673342,0.003866628,0.000159291,-0.139656848,0.332000397,0.491983994,-0.001206279,-0.002902453,0.004289801,0.999984860,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492021802,0.000000000,4.212316990
1772662595.555332899,0.026219000,0.006716000,0.071111000,-0.002128690,0.005072720,0.006340760,0.999964760,-0.004193000,0.010172000,0.012660000,0.000114413,0.000145630,-0.000062490,-0.000872204,0.017339245,0.004539923,0.015237100,-0.004029668,0.999259895,0.002176144,0.000511953,0.001002405,0.000000000,0.000000000,0.000000000,0.000000000,0.026728081,0.006710625,0.071139381,0.021993412,0.000132941,0.001177625,0.010603799,-0.001221585,-0.001133318,-0.141083323,0.331507989,0.491725521,-0.001218752,-0.002898206,0.004287514,0.999984860,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.492208745,0.000000000,4.212316990
1772662595.565333605,0.026219000,0.006713000,0.071111000,-0.002048230,0.005146990,0.006394350,0.999964210,-0.004031000,0.010320000,0.012768000,0.000046309,0.000113326,-0.000242794,0.004563328,-0.000790512,0.003967583,0.014669592,-0.004661332,1.000955453,0.001335744,0.003992897,-0.001144827,0.000000000,0.000000000,0.000000000,0.000000000,0.026719540,0.006712272,0.071135422,0.022111881,-0.000045168,0.001056326,0.008794795,-0.003146734,0.000406545,-0.141583853,0.339533691,0.493410126,-0.001222776,-0.002968280,0.004302115,0.999984595,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.493377361,0.000000000,4.212316990
1772662595.575333834,0.026214000,0.006721000,0.071106000,-0.001938260,0.004896430,0.006446640,0.999965350,-0.003813000,0.009818000,0.012875000,0.000017444,0.000106915,-0.000227992,0.008167776,-0.010947082,0.003036599,0.014577096,-0.004212861,1.003173916,-0.000803970,0.003585432,0.002844202,0.000000000,0.000000000,0.000000000,0.000000000,0.026594833,0.006712574,0.071124591,0.021865505,-0.000242629,0.001123518,0.008428369,-0.001178422,0.002538606,-0.140500068,0.338923854,0.493292821,-0.001213344,-0.002962916,0.004301126,0.999984620,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.493176285,0.000000000,4.212316990
1772662595.585334778,0.026220000,0.006714000,0.071106000,-0.001850130,0.004929160,0.006426350,0.999965490,-0.003637000,0.009882000,0.012835000,-0.000065579,0.000019775,0.000088617,0.007857519,-0.008025184,0.001881954,0.011969271,-0.003895819,1.001582553,0.000869890,0.000763694,0.003180151,0.000000000,0.000000000,0.000000000,0.000000000,0.026618724,0.006708057,0.071129464,0.022157788,-0.000383689,0.001410845,0.006680933,-0.001112456,0.002481555,-0.141548372,0.335668300,0.493144438,-0.001222618,-0.002934544,0.004299839,0.999984684,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.493449274,0.000000000,4.212316990
1772662595.595335245,0.026215000,0.006708000,0.071096000,-0.001893590,0.004804210,0.006393430,0.999966230,-0.003726000,0.009632000,0.012769000,-0.000062607,-0.000007362,0.000146678,0.000969761,0.003296151,0.000193170,0.010126021,-0.003507039,0.999681799,-0.000059758,0.001550922,0.000685881,0.000000000,0.000000000,0.000000000,0.000000000,0.026638100,0.006699361,0.071134265,0.022136645,-0.000491384,0.001477335,0.004716351,-0.001120742,-0.000067899,-0.140627675,0.333085822,0.493866612,-0.001214663,-0.002911981,0.004306193,0.999984758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.493995197,0.000000000,4.212316990
