t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772426634.140748739,0.015306000,0.007640000,0.054215000,0.001130020,-0.010828690,-0.026120050,0.999599520,0.002825000,-0.021591000,-0.052280000,-0.001199399,0.000688598,0.000806994,0.016769250,-0.045704184,-0.010791892,0.018309560,0.011258220,0.997114804,-0.006086800,0.002120507,0.004945862,0.000000000,0.000000000,0.000000000,0.000000000,0.015301150,0.007616152,0.054260572,0.000580654,0.005524731,-0.007820910,0.003516764,0.001654491,0.000961932,0.291263642,0.892388986,-2.338424581,0.002382239,-0.007837709,-0.020384696,0.999758637,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.337659499,0.000000000,4.053958893
1772426634.150748730,0.015312000,0.007645000,0.054229000,0.001125370,-0.010947150,-0.026082230,0.999599230,0.002822000,-0.021829000,-0.052204000,-0.000595436,0.000242910,0.000059324,0.003869728,-0.011748617,-0.006311124,0.016986043,0.007745616,0.997471792,-0.004404935,0.002635349,0.002872167,0.000000000,0.000000000,0.000000000,0.000000000,0.015310026,0.007676655,0.054176596,0.000730183,0.005724887,-0.008018610,0.002372141,0.000941710,-0.000597852,0.290550033,0.891857608,-2.341643341,0.002375888,-0.007833013,-0.020412837,0.999758152,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.341096888,0.000000000,4.053958893
1772426634.160748720,0.015294000,0.007645000,0.054218000,0.001195450,-0.010942880,-0.026137660,0.999597740,0.002963000,-0.021816000,-0.052317000,-0.000154526,-0.000007090,-0.000258975,-0.002507595,0.008825039,-0.003063006,0.015662526,0.004233012,0.997828781,-0.002723069,0.003150192,0.000798472,0.000000000,0.000000000,0.000000000,0.000000000,0.015318902,0.007737158,0.054092620,0.000879712,0.005925044,-0.008216309,0.001227518,0.000228930,-0.002157636,0.289810363,0.891411479,-2.344774365,0.002369300,-0.007829054,-0.020440214,0.999757667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.344418006,0.000000000,4.053958893
1772426634.170749426,0.015293000,0.007647000,0.054211000,0.001156180,-0.010918200,-0.026230050,0.999595640,0.002885000,-0.021769000,-0.052501000,0.000138015,-0.000106857,-0.000269581,-0.004050645,0.018296530,-0.000995482,0.016269578,0.005924664,0.996690668,-0.000858893,0.002784528,-0.000545139,0.000000000,0.000000000,0.000000000,0.000000000,0.015316989,0.007720569,0.054113492,0.000844496,0.005695311,-0.007964187,0.000770679,0.000549660,-0.003500449,0.289107937,0.890862008,-2.348024648,0.002363048,-0.007824201,-0.020468633,0.999757113,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.347452047,0.000000000,4.053958893
1772426634.180749416,0.015300000,0.007641000,0.054222000,0.001104790,-0.010824810,-0.026189530,0.999597770,0.002776000,-0.021585000,-0.052418000,0.000296873,-0.000101845,-0.000094173,-0.002438492,0.018946358,-0.000055485,0.016273691,0.008218948,0.994725905,-0.002882116,-0.003310209,-0.003816726,0.000000000,0.000000000,0.000000000,0.000000000,0.015320053,0.007738457,0.054086013,0.000860953,0.005596633,-0.008025811,0.000914583,0.002714034,-0.004489089,0.289059718,0.889943366,-2.351996924,0.002362521,-0.007816260,-0.020503312,0.999756326,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.351315897,0.000000000,4.053958893
1772426634.190749645,0.015302000,0.007645000,0.054212000,0.001173090,-0.010660780,-0.026168710,0.999600010,0.002904000,-0.021253000,-0.052377000,0.000336733,-0.000037510,0.000145571,0.000642622,0.013053758,-0.000192309,0.016170278,0.007420845,0.995892339,-0.001601370,0.002652299,0.002443828,0.000000000,0.000000000,0.000000000,0.000000000,0.015317566,0.007719274,0.054115018,0.000824891,0.005567722,-0.007963148,0.001001711,0.002259993,-0.004584161,0.288989249,0.890030659,-2.356461499,0.002361585,-0.007817101,-0.020542268,0.999755393,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.355728548,0.000000000,4.053958893
1772426634.200749636,0.015310000,0.007642000,0.054218000,0.001106580,-0.010662610,-0.026124460,0.999601220,0.002770000,-0.021260000,-0.052287000,0.000314705,0.000001437,0.000196776,0.000716974,0.000359216,-0.000747913,0.016556937,0.005972118,0.996300400,0.000400408,0.000605898,-0.000955833,0.000000000,0.000000000,0.000000000,0.000000000,0.015313654,0.007697447,0.054146583,0.000774131,0.005537514,-0.007885942,0.000913676,0.000996531,-0.004123342,0.287879893,0.890813259,-2.361009837,0.002351456,-0.007823823,-0.020582010,0.999754758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.360657537,0.000000000,4.053958893
1772426634.210749865,0.015314000,0.007644000,0.054229000,0.001157750,-0.010714000,-0.026160330,0.999599670,0.002876000,-0.021360000,-0.052360000,-0.000039705,0.000026399,-0.000038753,0.001432814,-0.013770040,-0.004244439,0.016207583,0.007502621,0.996318585,0.002286175,-0.001255101,0.000721593,0.000000000,0.000000000,0.000000000,0.000000000,0.015310745,0.007698948,0.054144418,0.000755539,0.005503948,-0.007912899,0.000403943,0.002195938,-0.003853961,0.286682613,0.890552462,-2.364306915,0.002340832,-0.007821400,-0.020610862,0.999754056,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.363761146,0.000000000,4.053958893
1772426634.220749855,0.015305000,0.007647000,0.054220000,0.001204870,-0.010747430,-0.026243460,0.999597080,0.002974000,-0.021425000,-0.052528000,-0.000221581,0.000024340,-0.000215268,0.001007902,-0.018839252,-0.009105770,0.016648743,0.008048768,0.995038317,0.000787409,0.002555535,0.003623909,0.000000000,0.000000000,0.000000000,0.000000000,0.015308029,0.007700187,0.054142346,0.000725069,0.005490710,-0.007915022,0.000917910,0.003211639,-0.004147434,0.287247917,0.891622202,-2.368697545,0.002345271,-0.007830925,-0.020649104,0.999753104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.367867292,0.000000000,4.053958893
1772426634.230749130,0.015302000,0.007642000,0.054219000,0.001160520,-0.010900500,-0.026273320,0.999594690,0.002894000,-0.021733000,-0.052587000,-0.000000019,-0.000122553,-0.000072028,-0.001503824,-0.014577892,-0.009348186,0.018970623,0.006263541,0.995032956,0.000702115,-0.002006457,0.004102124,0.000000000,0.000000000,0.000000000,0.000000000,0.015308563,0.007700882,0.054140128,0.000728836,0.005584177,-0.007960006,0.003025146,0.001352715,-0.004678711,0.288630778,0.892548354,-2.373067920,0.002356870,-0.007839344,-0.020687117,0.999752502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.372768143,0.000000000,4.053958893
