t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772688449.067671537,0.016134000,0.008998000,0.053711000,-0.000155100,0.009421490,-0.038381800,0.999218720,-0.001033000,0.018817000,-0.076796000,0.014143603,-0.011333888,0.012336123,0.004298891,-0.462543785,-0.050882554,0.011561349,-0.000469780,1.000900597,-0.001558462,-0.001121285,0.000698477,0.000000000,0.000000000,0.000000000,0.000000000,0.016602339,0.008871066,0.053811104,0.020136716,-0.002475006,0.001538086,0.006678058,-0.000064424,0.001197975,-0.059497201,0.312120844,-3.486426071,-0.000601826,-0.002706713,-0.030421380,0.999533006,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.165784889
1772688449.077672482,0.016263000,0.008897000,0.053830000,-0.000236610,0.007021350,-0.038597090,0.999230160,-0.001015000,0.014014000,-0.077222000,0.008358166,-0.006582835,0.006872481,0.018249229,-0.442338081,-0.038431590,0.011412902,-0.001147783,1.001612596,-0.000758805,0.006465552,0.000124947,0.000000000,0.000000000,0.000000000,0.000000000,0.016450042,0.008879026,0.053825696,0.018515713,-0.002012241,0.001531000,0.006388004,-0.000765927,0.001189350,-0.060369089,0.312596981,-3.478541135,-0.000609372,-0.002710676,-0.030352625,0.999532912,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.166411677
1772688449.087672710,0.016296000,0.008866000,0.053855000,-0.000169960,0.005189870,-0.038781490,0.999234220,-0.000742000,0.010359000,-0.077587000,0.003811192,-0.002908239,0.002806160,0.019859902,-0.346134094,-0.025592145,0.011806863,-0.000504828,1.000626144,0.000857289,0.004633606,0.000489849,0.000000000,0.000000000,0.000000000,0.000000000,0.016486729,0.008861429,0.053850372,0.018377001,-0.001870236,0.001643067,0.006217507,0.000153075,0.000976712,-0.062081878,0.328854619,-3.510119700,-0.000629402,-0.002851858,-0.030628176,0.999527236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.167038420
1772688449.097672224,0.016314000,0.008857000,0.053858000,-0.000105990,0.003845490,-0.038811140,0.999239160,-0.000510000,0.007677000,-0.077644000,0.000466317,-0.000256954,0.000009188,0.013003601,-0.205148706,-0.013436656,0.011568303,-0.001322021,1.001550277,0.000968070,0.001174475,0.001389594,0.000000000,0.000000000,0.000000000,0.000000000,0.016597658,0.008837365,0.053868954,0.018933759,-0.001856345,0.001729035,0.005281873,-0.000086772,0.000559780,-0.061255185,0.327077329,-3.515497809,-0.000621850,-0.002836547,-0.030675063,0.999525591,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.167665118
1772688449.107672691,0.016321000,0.008854000,0.053848000,-0.000178730,0.003321300,-0.038915140,0.999236980,-0.000616000,0.006624000,-0.077852000,-0.001712822,0.001424166,-0.001646408,0.001677208,-0.050597371,-0.003003285,0.011164950,-0.001749263,1.002371195,0.001076443,-0.001731537,0.001985327,0.000000000,0.000000000,0.000000000,0.000000000,0.016649755,0.008826398,0.053883866,0.019162818,-0.001895679,0.001760535,0.005005247,-0.000803662,0.001856503,-0.060076146,0.326059084,-3.520111769,-0.000611407,-0.002827956,-0.030715276,0.999524514,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.168291876
1772688449.117672682,0.016325000,0.008853000,0.053867000,-0.000078510,0.002798660,-0.038928000,0.999238100,-0.000375000,0.005587000,-0.077877000,-0.002762590,0.002188269,-0.002288600,-0.010211620,0.086298201,0.004688130,0.010363241,-0.000552447,1.002372386,0.000615305,-0.001850595,0.001482368,0.000000000,0.000000000,0.000000000,0.000000000,0.016667623,0.008824699,0.053892402,0.019247233,-0.001924199,0.001934536,0.004952141,0.000025353,0.002360720,-0.060561489,0.327540233,-3.523814984,-0.000616129,-0.002840726,-0.030747593,0.999523356,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.168918604
1772688449.127672911,0.016313000,0.008862000,0.053866000,-0.000295320,0.002827110,-0.038918480,0.999238350,-0.000810000,0.005627000,-0.077859000,-0.002065814,0.001545728,-0.001538987,-0.013704660,0.119886458,0.005160895,0.011265864,0.000070878,1.000483157,-0.002696208,-0.000217854,0.002314693,0.000000000,0.000000000,0.000000000,0.000000000,0.016623359,0.008861485,0.053852325,0.019126722,-0.001771787,0.001901817,0.004779274,0.000141687,0.000557141,-0.061275909,0.330474902,-3.527433179,-0.000623238,-0.002866112,-0.030779180,0.999522203,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.169545346
1772688449.137672663,0.016156000,0.008969000,0.053733000,-0.000227870,0.006470560,-0.038687420,0.999230390,-0.000956000,0.012914000,-0.077402000,-0.000933140,0.000588579,-0.000648019,-0.009077385,0.093387467,0.004310293,0.009986167,-0.001263356,0.999567215,-0.000780870,0.000206692,0.005032516,0.000000000,0.000000000,0.000000000,0.000000000,0.016607921,0.008878109,0.053837543,0.019082603,-0.001681882,0.001824474,0.004243652,-0.001145752,-0.000487214,-0.061498318,0.332713994,-3.531305528,-0.000625877,-0.002885562,-0.030812968,0.999520908,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.170087814
1772688449.147672892,0.016259000,0.008904000,0.053819000,-0.000308340,0.005366140,-0.038812310,0.999232060,-0.001033000,0.010700000,-0.077651000,0.000732013,-0.000432285,0.000445397,-0.001076132,0.027465254,0.000124100,0.011342056,-0.002390271,0.999092596,0.000435749,-0.000842169,0.002831155,0.000000000,0.000000000,0.000000000,0.000000000,0.016632790,0.008863268,0.053851440,0.019097145,-0.001774402,0.001798166,0.004889001,-0.002219732,0.000080976,-0.061072055,0.332993803,-3.536575727,-0.000622367,-0.002888088,-0.030858932,0.999519598,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.170087814
1772688449.157672882,0.016295000,0.008875000,0.053833000,-0.000311520,0.004605230,-0.038878060,0.999233300,-0.000981000,0.009179000,-0.077781000,0.002685822,-0.001904994,0.002282248,0.002267575,-0.093066600,-0.011156709,0.012682588,-0.003136909,0.998775355,0.001255332,-0.001857952,-0.000021074,0.000000000,0.000000000,0.000000000,0.000000000,0.016522997,0.008852868,0.053864536,0.018822729,-0.001988206,0.001781853,0.005989557,-0.002439028,-0.000553757,-0.060148283,0.333141365,-3.541508648,-0.000614474,-0.002889598,-0.030901936,0.999518514,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.170087814
1772688449.167673111,0.016301000,0.008864000,0.053851000,-0.000207170,0.003847240,-0.038912460,0.999235200,-0.000713000,0.007673000,-0.077848000,0.002486793,-0.001668339,0.002472030,0.003944892,-0.140486278,-0.014673019,0.011527905,-0.001531324,0.999286898,-0.000097270,-0.001237482,-0.002291950,0.000000000,0.000000000,0.000000000,0.000000000,0.016620100,0.008835955,0.053879957,0.019137395,-0.002156612,0.001694761,0.005418241,-0.001017702,-0.000338188,-0.059847747,0.333959297,-3.545350157,-0.000612170,-0.002896792,-0.030935441,0.999517264,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.170087814
1772688449.177673101,0.016318000,0.008860000,0.053865000,-0.000228850,0.003780050,-0.038877850,0.999236790,-0.000751000,0.007537000,-0.077779000,-0.000952410,0.000464433,-0.000176904,-0.002141408,-0.012937232,-0.002407760,0.012889460,-0.002632054,1.001323875,-0.001011613,-0.001107749,0.001851373,0.000000000,0.000000000,0.000000000,0.000000000,0.016542556,0.008840732,0.053886108,0.018964158,-0.002164094,0.001634446,0.006536682,-0.001513204,0.000985374,-0.059490537,0.335817369,-3.550065065,-0.000609676,-0.002913071,-0.030976562,0.999515865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.483951598,0.000000000,4.170087814
