t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772688514.597151279,0.014440000,0.004307000,0.053892000,-0.002390330,0.005541270,0.012488000,0.999903810,-0.004642000,0.011141000,0.024951000,0.003015057,-0.001084325,-0.000313540,0.002383065,-0.077566954,-0.059026873,0.005844480,-0.003481494,0.999704746,-0.003614023,0.001454568,-0.001798211,0.000000000,0.000000000,0.000000000,0.000000000,0.014751385,0.004304658,0.053870757,0.014420389,-0.000745844,-0.000042851,0.005139224,0.000093542,0.000576357,-0.222813628,0.147932158,0.996139890,-0.001933113,-0.001307804,0.008690309,0.999958771,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.089872376
1772688514.607151031,0.014452000,0.004304000,0.053892000,-0.002357240,0.005388180,0.012331180,0.999906670,-0.004581000,0.010834000,0.024639000,0.000472631,-0.000384791,-0.000735218,-0.013416426,0.000401965,-0.039775792,0.004984515,-0.003923906,0.999903719,-0.000381598,0.002803674,-0.002705343,0.000000000,0.000000000,0.000000000,0.000000000,0.014637240,0.004292090,0.053879535,0.014259144,-0.000709206,0.000051508,0.001668827,0.000201232,-0.000664889,-0.223009246,0.152113692,0.997156779,-0.001934493,-0.001344325,0.008699109,0.999958396,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.090568206
1772688514.617151499,0.014444000,0.004305000,0.053880000,-0.002504010,0.005442920,0.012185120,0.999907810,-0.004875000,0.010946000,0.024345000,-0.000522359,-0.000139452,-0.000644892,-0.019524035,0.036690926,-0.025595461,0.005204039,-0.004952558,0.999438250,0.001304279,0.003632257,-0.001304090,0.000000000,0.000000000,0.000000000,0.000000000,0.014679484,0.004284321,0.053875323,0.014337799,-0.000693226,0.000001400,0.002615487,-0.000587863,-0.000104019,-0.223463911,0.152115325,0.995990284,-0.001938474,-0.001344354,0.008688925,0.999958455,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.090640993
1772688514.627151489,0.014452000,0.004297000,0.053879000,-0.002636580,0.005671560,0.011939250,0.999909160,-0.005138000,0.011405000,0.023850000,-0.000461519,-0.000175583,-0.000246057,-0.018415506,0.042324059,-0.015240912,0.005762952,-0.006090731,0.998811312,-0.001466197,0.002803329,-0.000240556,0.000000000,0.000000000,0.000000000,0.000000000,0.014710048,0.004280985,0.053876740,0.014431042,-0.000746597,-0.000010460,0.002337185,-0.001544967,-0.001114824,-0.222871787,0.151902603,0.994728959,-0.001933338,-0.001342432,0.008677929,0.999958634,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.090115778
1772688514.637151718,0.014448000,0.004288000,0.053870000,-0.002636090,0.005929510,0.011896170,0.999908180,-0.005131000,0.011921000,0.023763000,0.000163539,-0.000320455,0.000257790,-0.012552601,0.028340916,-0.007468337,0.007421562,-0.006630596,0.998968299,0.001240487,0.000606589,-0.000659421,0.000000000,0.000000000,0.000000000,0.000000000,0.014724923,0.004278348,0.053884205,0.014427092,-0.000900976,-0.000100178,0.004413272,-0.002098341,-0.000810097,-0.222178564,0.151396930,0.993531994,-0.001927341,-0.001337946,0.008667499,0.999958666,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.089590550
1772688514.647151947,0.014457000,0.004291000,0.053878000,-0.002726760,0.005916320,0.011934370,0.999907560,-0.005312000,0.011897000,0.023838000,0.000861209,-0.000401341,0.000663151,-0.004423519,0.005771686,-0.001016561,0.006983862,-0.005098466,0.998336836,0.002647468,-0.000011196,0.000902142,0.000000000,0.000000000,0.000000000,0.000000000,0.014731896,0.004277647,0.053890246,0.014577769,-0.001053626,-0.000139792,0.004667792,-0.001439853,-0.000756686,-0.221957463,0.150362945,0.992496608,-0.001925502,-0.001328890,0.008658484,0.999958866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.089065322
1772688514.657151461,0.014460000,0.004291000,0.053894000,-0.002738370,0.005898810,0.012015210,0.999906670,-0.005335000,0.011863000,0.024000000,0.000285839,0.000134635,0.000258528,0.002318995,-0.005558989,0.007025182,0.007586460,-0.005996558,1.000429396,-0.000754492,-0.001937484,0.002442827,0.000000000,0.000000000,0.000000000,0.000000000,0.014737335,0.004278613,0.053890205,0.014685756,-0.001134817,-0.000207702,0.004184113,-0.001360889,-0.000476373,-0.221448923,0.149420846,0.991591936,-0.001921146,-0.001320615,0.008650612,0.999958873,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.088540132
1772688514.667151690,0.014457000,0.004296000,0.053900000,-0.002651690,0.005866180,0.012055330,0.999906610,-0.005162000,0.011795000,0.024081000,-0.001842679,0.001611462,-0.000588346,0.003402643,0.006181434,0.022647184,0.008029270,-0.004701553,1.000440595,-0.002312163,0.004978146,-0.003331262,0.000000000,0.000000000,0.000000000,0.000000000,0.014739128,0.004280856,0.053881103,0.014766728,-0.001230042,-0.000241950,0.004624926,-0.001017971,0.000311666,-0.221015615,0.149432963,0.991033571,-0.001917371,-0.001320678,0.008645745,0.999958930,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.088014904
1772688514.677151918,0.014459000,0.004301000,0.053891000,-0.002620220,0.005722490,0.012088300,0.999907130,-0.005102000,0.011508000,0.024148000,-0.002658258,0.002057267,-0.001119290,0.004611829,0.030014576,0.031303655,0.006676187,-0.005121073,1.000105529,-0.000659968,0.001026648,0.002120937,0.000000000,0.000000000,0.000000000,0.000000000,0.014700845,0.004305319,0.053861743,0.014724752,-0.001171043,-0.000278034,0.004742004,-0.000661557,0.000174634,-0.221428867,0.149207656,0.990526760,-0.001921000,-0.001318735,0.008641321,0.999958932,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.087489676
1772688514.687151909,0.014454000,0.004307000,0.053872000,-0.002656230,0.005884820,0.012120050,0.999905700,-0.005170000,0.011833000,0.024211000,-0.002405266,0.001514570,-0.000750506,0.000081539,0.040933981,0.028278271,0.008332923,-0.005149564,1.000015825,0.000342793,0.001866770,0.003782794,0.000000000,0.000000000,0.000000000,0.000000000,0.014656065,0.004335999,0.053850091,0.014666011,-0.001108736,-0.000315060,0.004973856,-0.001573156,-0.000039937,-0.221308978,0.147610742,0.989587709,-0.001920084,-0.001304775,0.008633156,0.999958987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.131384894,0.000000000,4.086964461
