t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772689392.205179691,0.013611000,0.005438000,0.054053000,-0.012003600,0.016141250,-0.008141860,0.999764510,-0.024279000,0.032085000,-0.016677000,0.005227083,0.001389725,-0.007488877,0.310070957,-0.370327599,0.112778532,0.009397174,-0.006552522,0.998153125,0.000165175,0.001851482,0.004531668,0.000000000,0.000000000,0.000000000,0.000000000,0.014360604,0.005679716,0.054032370,0.037830019,0.012051378,-0.000869677,0.010938524,0.002330432,-0.001156156,-0.494251084,-0.087876053,-0.649375912,-0.004308721,0.000791286,-0.005663476,0.999973270,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.215179205,0.013679000,0.005502000,0.053908000,-0.010230410,0.013718060,-0.007604790,0.999824640,-0.020675000,0.027279000,-0.015494000,0.001657500,-0.000257595,-0.000896563,0.096664007,-0.110431190,0.039319125,0.009021791,-0.006358343,1.000068078,-0.000263017,0.003067855,-0.000704557,0.000000000,0.000000000,0.000000000,0.000000000,0.014248714,0.005646326,0.054038811,0.037419279,0.011896461,-0.000922705,0.010211482,0.002244862,-0.000182220,-0.493504384,-0.087975643,-0.648027099,-0.004302209,0.000792068,-0.005651707,0.999973386,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.225178719,0.013643000,0.005436000,0.054029000,-0.010911060,0.014947960,-0.007715780,0.999798970,-0.022060000,0.029726000,-0.015762000,-0.000427001,-0.001022281,0.002403091,-0.028854618,0.041818600,-0.005766547,0.009898982,-0.007093549,0.999794798,0.002527043,0.002698782,-0.000989410,0.000000000,0.000000000,0.000000000,0.000000000,0.014093780,0.005600901,0.054018955,0.036913095,0.011688981,-0.000988843,0.011505102,0.001477368,0.000043584,-0.493005130,-0.089600614,-0.648997312,-0.004297765,0.000806260,-0.005660116,0.999973416,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.235178471,0.013641000,0.005422000,0.054056000,-0.011294970,0.015314900,-0.007795900,0.999788530,-0.022837000,0.030452000,-0.015943000,-0.001336909,-0.001127410,0.003219176,-0.085093393,0.109448466,-0.028098653,0.010968051,-0.007198591,0.998458700,0.001606407,-0.003929767,-0.000342197,0.000000000,0.000000000,0.000000000,0.000000000,0.014250472,0.005658332,0.053970572,0.037309776,0.011623176,-0.001144882,0.011946415,0.001086150,-0.000878200,-0.490682704,-0.090994907,-0.648668120,-0.004277432,0.000818300,-0.005657208,0.999973488,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.245178461,0.013631000,0.005421000,0.054064000,-0.011478310,0.015584570,-0.007940700,0.999781130,-0.023212000,0.030985000,-0.016244000,-0.001382713,-0.000796057,0.002360783,-0.090790966,0.115410033,-0.033200969,0.010617782,-0.006420036,1.000052548,0.000750568,-0.002837260,-0.001084519,0.000000000,0.000000000,0.000000000,0.000000000,0.014000839,0.005562128,0.054002679,0.036563083,0.011296135,-0.001030594,0.011521279,0.002283994,-0.000028290,-0.488545326,-0.090180252,-0.648538873,-0.004258822,0.000811081,-0.005656125,0.999973566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.255178213,0.013635000,0.005442000,0.054049000,-0.011559400,0.015707750,-0.007985600,0.999777910,-0.023378000,0.031229000,-0.016339000,-0.000874904,-0.000251302,0.000637005,-0.064624093,0.082701539,-0.026600139,0.009302657,-0.006009613,0.999535003,0.000242107,-0.001084933,-0.000745751,0.000000000,0.000000000,0.000000000,0.000000000,0.013998600,0.005548269,0.054023231,0.036615809,0.011123682,-0.000989354,0.010633099,0.001336307,-0.001130845,-0.488212000,-0.089891923,-0.647751559,-0.004255933,0.000808519,-0.005649268,0.999973618,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.265178204,0.013620000,0.005436000,0.054048000,-0.012073290,0.016148850,-0.008174460,0.999763290,-0.024420000,0.032098000,-0.016744000,-0.000329818,0.000061480,-0.000447067,-0.046527829,0.060754666,-0.019564696,0.009521050,-0.005656968,0.999967258,0.003509948,0.000590295,-0.002662070,0.000000000,0.000000000,0.000000000,0.000000000,0.013993750,0.005540029,0.054037569,0.036616082,0.011005344,-0.000887777,0.011160701,0.003197895,-0.000315311,-0.487540034,-0.090365375,-0.647608950,-0.004250046,0.000812612,-0.005648011,0.999973672,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.275177956,0.013613000,0.005439000,0.054039000,-0.011992310,0.016303530,-0.008193930,0.999761590,-0.024261000,0.032408000,-0.016785000,0.000270824,0.000265346,-0.000871116,-0.017933933,0.029744385,-0.005328237,0.010866405,-0.005586983,1.001330602,0.004216546,0.002364794,-0.003181303,0.000000000,0.000000000,0.000000000,0.000000000,0.013992290,0.005544287,0.054039444,0.036522808,0.011007250,-0.000936422,0.012785060,0.003128213,0.001153073,-0.486047883,-0.090714227,-0.647931861,-0.004237006,0.000815595,-0.005650827,0.999973724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.285177708,0.013636000,0.005422000,0.054041000,-0.012096250,0.016442840,-0.008156130,0.999758370,-0.024470000,0.032686000,-0.016716000,0.000928323,0.000641978,-0.001266707,0.025060032,-0.032177083,0.012505997,0.011636421,-0.005901449,1.001617189,-0.000248354,0.003299534,-0.000626919,0.000000000,0.000000000,0.000000000,0.000000000,0.013986320,0.005544407,0.054039696,0.036570626,0.011028554,-0.000830934,0.013156074,0.002752532,0.001286715,-0.484991783,-0.091246402,-0.647406652,-0.004227768,0.000820167,-0.005646231,0.999973768,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
1772689392.295177221,0.013625000,0.005432000,0.054042000,-0.012113200,0.016430310,-0.008191480,0.999758080,-0.024505000,0.032660000,-0.016787000,0.001155634,0.000777779,-0.001202468,0.063413431,-0.087987168,0.023955745,0.011034992,-0.005864500,1.000057768,0.001622160,-0.000125871,-0.003637048,0.000000000,0.000000000,0.000000000,0.000000000,0.013979655,0.005545157,0.054037314,0.036684154,0.011031396,-0.000690500,0.012701844,0.002226892,0.000587668,-0.484660546,-0.091576935,-0.646865308,-0.004224865,0.000823015,-0.005641497,0.999973823,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.203384429,0.000000000,3.969501495
