t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772725411.690564871,0.015364000,0.008838000,0.071273000,0.009660840,-0.014987750,-0.002426280,-0.999838060,-0.019256000,0.030022000,0.004564000,-0.002001459,0.013051605,-0.013413183,0.319690858,-0.487499645,0.046337384,0.008529047,-0.008128547,0.998698107,0.001247739,-0.000074085,-0.001596374,0.000000000,0.000000000,0.000000000,0.000000000,0.015612705,0.008893477,0.071181715,0.027239834,0.001724122,-0.004944517,0.007989436,-0.000041253,-0.000935040,-0.464684849,0.027384422,0.040917135,-0.004055040,-0.000240420,0.000356097,0.999990702,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.700564384,0.015350000,0.008882000,0.071229000,0.008523800,-0.013114120,-0.002150200,-0.999875360,-0.016996000,0.026265000,0.004078000,-0.002602741,0.009834003,-0.006660496,0.297754206,-0.440952441,-0.096477693,0.009037648,-0.007741555,0.998128145,0.000008334,-0.001549745,-0.003452794,0.000000000,0.000000000,0.000000000,0.000000000,0.015619095,0.008850559,0.071215801,0.027201060,0.001463474,-0.004598564,0.009006972,0.000411869,-0.001978426,-0.464011779,0.027341698,0.038834501,-0.004049170,-0.000239972,0.000337926,0.999990730,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.710564375,0.015342000,0.008887000,0.071221000,0.007486200,-0.011826230,-0.001952710,-0.999900140,-0.014929000,0.023682000,0.003729000,-0.002235142,0.006057193,-0.002063755,0.239525661,-0.349569447,-0.149054313,0.008316952,-0.007174316,0.998398428,0.000029895,0.003995350,-0.003559282,0.000000000,0.000000000,0.000000000,0.000000000,0.015623200,0.008795500,0.071267246,0.027268200,0.001317104,-0.004339201,0.007919537,0.000687219,-0.001766351,-0.463188898,0.028264726,0.037064495,-0.004041991,-0.000247962,0.000322449,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.720563889,0.015298000,0.009100000,0.071113000,0.005785640,-0.009150220,-0.000964150,-0.999940930,-0.011555000,0.018312000,0.001823000,-0.001226633,0.002109986,0.000775642,0.157928164,-0.229345182,-0.134539245,0.008867669,-0.007429385,0.998444481,-0.000270567,0.004704219,-0.000279454,0.000000000,0.000000000,0.000000000,0.000000000,0.015618554,0.008828534,0.071241390,0.027272378,0.001489141,-0.004446617,0.008683348,-0.000465392,-0.001863944,-0.462912452,0.027372586,0.035665479,-0.004039584,-0.000240126,0.000310272,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.730563879,0.015270000,0.009138000,0.071114000,0.004960420,-0.008033000,-0.000049210,-0.999955430,-0.009921000,0.016066000,0.000019000,0.000094814,-0.001618805,0.002256296,0.065784303,-0.096468680,-0.075712644,0.009145883,-0.006073835,0.998845400,-0.000817792,-0.000951368,0.000781362,0.000000000,0.000000000,0.000000000,0.000000000,0.015603870,0.008888790,0.071202882,0.027194809,0.001753902,-0.004591788,0.008367860,0.002221343,-0.001241386,-0.462849973,0.025685921,0.035748843,-0.004039043,-0.000225410,0.000311059,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.740563154,0.015285000,0.009133000,0.071102000,0.004211020,-0.006883820,0.000287820,-0.999967400,-0.008427000,0.013765000,-0.000634000,0.001401225,-0.004740370,0.002776809,-0.024478932,0.032697222,0.004415503,0.009146654,-0.006411762,0.999880930,-0.000248862,-0.001029200,0.000310098,0.000000000,0.000000000,0.000000000,0.000000000,0.015577865,0.009009006,0.071135937,0.027095465,0.002252746,-0.004831668,0.008770825,0.001679473,-0.000258776,-0.463053665,0.025543889,0.036417222,-0.004040820,-0.000224195,0.000316897,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.750563622,0.015371000,0.008716000,0.071379000,0.006856140,-0.010729870,-0.000886340,-0.999918540,-0.013696000,0.021472000,0.001626000,0.002190523,-0.008031398,0.004311834,-0.110256102,0.157087954,0.071104397,0.009519332,-0.007440504,1.000050702,-0.000599370,0.000649885,0.000092866,0.000000000,0.000000000,0.000000000,0.000000000,0.015558781,0.009079226,0.071101457,0.027016974,0.002658109,-0.004870045,0.008953421,0.000513631,0.000049142,-0.462978693,0.026281229,0.036503163,-0.004040163,-0.000230632,0.000317621,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.760563135,0.015359000,0.008822000,0.071275000,0.006899460,-0.010777040,-0.001242440,-0.999917350,-0.013775000,0.021571000,0.002337000,0.002157170,-0.008043811,0.003960202,-0.150384918,0.222384565,0.113150627,0.009843824,-0.009469196,0.997306100,-0.003665556,0.004825319,0.000807884,0.000000000,0.000000000,0.000000000,0.000000000,0.015560777,0.009119035,0.071072953,0.027013942,0.002801752,-0.004735837,0.009302285,-0.001517565,-0.002505542,-0.462482322,0.026782074,0.035698476,-0.004035832,-0.000234973,0.000310582,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.148973465
1772725411.770562887,0.015360000,0.008854000,0.071255000,0.006939940,-0.010847630,-0.001606640,-0.999915790,-0.013848000,0.021717000,0.003063000,0.001143552,-0.003399246,0.001158878,-0.117092081,0.177897221,0.108494251,0.009255645,-0.009855675,0.995993753,-0.001834859,0.003736402,0.000724646,0.000000000,0.000000000,0.000000000,0.000000000,0.015557814,0.009133678,0.071075338,0.027030784,0.002771395,-0.004568070,0.008736749,-0.001848181,-0.003509694,-0.463156655,0.025993969,0.034831044,-0.004041720,-0.000228067,0.000303039,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.149110589
1772725411.780562878,0.015370000,0.008854000,0.071223000,0.006728870,-0.010652680,-0.001914990,-0.999918780,-0.013419000,0.021331000,0.003687000,-0.000295785,0.000851263,-0.000638734,-0.065492368,0.108366837,0.064713583,0.008647791,-0.008974871,0.996011322,0.001161357,0.000432193,-0.000292221,0.000000000,0.000000000,0.000000000,0.000000000,0.015554292,0.009136166,0.071073678,0.027053255,0.002438955,-0.004747015,0.008284222,-0.001259386,-0.004066126,-0.463835474,0.024770589,0.034273625,-0.004047648,-0.000217373,0.000298216,0.999990761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.820819616,0.000000000,4.149601449
