t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772714580.143255711,0.014863000,0.007625000,0.075537000,-0.003215410,0.005885900,0.025000750,0.999664930,-0.006135000,0.011929000,0.049971000,0.000454507,-0.000917153,-0.001539609,-0.003911564,0.013419241,0.030620201,0.010732655,-0.004820354,0.998414061,-0.001332654,-0.000195388,-0.002231895,0.000000000,0.000000000,0.000000000,0.000000000,0.015042459,0.007631043,0.075511633,0.018457640,0.000356449,-0.002148120,0.007241004,-0.001006739,-0.001732372,-0.221743546,0.245862294,2.231987579,-0.001892915,-0.002182831,0.019472285,0.999805294,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.235604914,0.000000000,4.209489144
1772714580.153255939,0.014862000,0.007620000,0.075518000,-0.003200990,0.006223200,0.025159000,0.999658970,-0.006087000,0.012604000,0.050286000,-0.000150971,-0.000060742,-0.000298233,0.001757969,0.016360397,0.015619015,0.010130104,-0.004046406,0.998948418,0.000759174,0.000553090,0.000374027,0.000000000,0.000000000,0.000000000,0.000000000,0.015039271,0.007631209,0.075506668,0.018501368,0.000273336,-0.002164316,0.005706141,-0.000095677,-0.001112035,-0.221802652,0.247772037,2.235903518,-0.001893031,-0.002199568,0.019506417,0.999804601,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.239646139,0.000000000,4.208937269
1772714580.163255930,0.014868000,0.007617000,0.075524000,-0.003197200,0.006149170,0.025135990,0.999660020,-0.006084000,0.012455000,0.050241000,-0.000393979,0.000294386,0.000298271,0.003441885,0.012913390,0.006274633,0.008906726,-0.002300840,0.999236385,0.001672419,0.001757757,0.002604977,0.000000000,0.000000000,0.000000000,0.000000000,0.015037903,0.007629165,0.075509256,0.018553281,0.000242279,-0.002201892,0.004680628,0.000785208,-0.000630653,-0.221353562,0.248159366,2.240976099,-0.001888949,-0.002202955,0.019550678,0.999803754,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.244071835,0.000000000,4.208385407
1772714580.173255205,0.014853000,0.007629000,0.075535000,-0.003235210,0.005974040,0.025174120,0.999660000,-0.006168000,0.012107000,0.050317000,-0.000372417,0.000290191,0.000421232,0.002321811,0.005644904,0.001326987,0.010296215,-0.004749104,0.998013256,0.000549509,-0.001398069,-0.001784706,0.000000000,0.000000000,0.000000000,0.000000000,0.015035887,0.007628979,0.075514923,0.018485295,0.000331668,-0.002169484,0.004744213,0.000685193,-0.001646906,-0.220900341,0.248730620,2.245555542,-0.001884809,-0.002207937,0.019590630,0.999802897,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.249299924,0.000000000,4.207833585
1772714580.183255196,0.014852000,0.007627000,0.075538000,-0.003172340,0.006140410,0.025252020,0.999657220,-0.006033000,0.012437000,0.050473000,-0.000184188,0.000068629,0.000241978,-0.000413425,-0.002878744,-0.000482568,0.008525653,-0.006750048,0.998774121,0.001584570,-0.001254320,0.003690254,0.000000000,0.000000000,0.000000000,0.000000000,0.015040397,0.007629555,0.075521587,0.018439064,0.000408124,-0.002194440,0.004786006,-0.002123177,-0.001792865,-0.220128434,0.250324240,2.249228600,-0.001877730,-0.002221770,0.019622667,0.999802326,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.253000357,0.000000000,4.207281723
1772714580.193254709,0.014855000,0.007628000,0.075530000,-0.003121740,0.006210000,0.025167590,0.999659080,-0.005929000,0.012573000,0.050304000,0.000072805,-0.000228341,-0.000068162,-0.003572063,-0.010092227,-0.000413225,0.009947398,-0.006003985,1.000853497,-0.000199312,0.000628834,-0.001034139,0.000000000,0.000000000,0.000000000,0.000000000,0.015046270,0.007626204,0.075516736,0.018379211,0.000237554,-0.002290156,0.005270984,-0.002490412,-0.000170449,-0.219790750,0.251471174,2.253452319,-0.001874506,-0.002231788,0.019659504,0.999801578,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.257175769,0.000000000,4.207038403
1772714580.203255415,0.014853000,0.007619000,0.075531000,-0.003257940,0.006140610,0.025180790,0.999658750,-0.006205000,0.012441000,0.050330000,0.000275097,-0.000341997,-0.000139511,-0.004483219,-0.004221060,-0.001820346,0.010182274,-0.004477569,1.002022157,0.001081037,-0.000318578,-0.002023034,0.000000000,0.000000000,0.000000000,0.000000000,0.015045227,0.007626565,0.075507592,0.018328275,0.000055006,-0.002279710,0.006056924,-0.001476766,0.001708023,-0.220236817,0.252235971,2.256237369,-0.001878212,-0.002238583,0.019683780,0.999801033,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.260257292,0.000000000,4.207038403
1772714580.213255167,0.014869000,0.007612000,0.075520000,-0.003281760,0.006119450,0.025182010,0.999658770,-0.006254000,0.012400000,0.050332000,0.000207479,-0.000094017,-0.000018726,-0.003314050,0.000837763,-0.002253947,0.009526541,-0.005410190,1.001606281,0.001804533,-0.001782310,0.001958138,0.000000000,0.000000000,0.000000000,0.000000000,0.015042091,0.007627417,0.075505373,0.018329019,-0.000052834,-0.002106230,0.005033281,-0.001013722,0.001625950,-0.219744826,0.253856538,2.258808867,-0.001873590,-0.002252680,0.019706199,0.999800620,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.262693804,0.000000000,4.207038403
1772714580.223255634,0.014856000,0.007621000,0.075530000,-0.003240850,0.005862870,0.025221320,0.999659450,-0.006184000,0.011886000,0.050412000,-0.000104390,0.000282829,0.000144328,-0.001984311,0.003670787,-0.000475367,0.008925618,-0.004226475,1.000662021,0.000077889,0.002690242,-0.000327759,0.000000000,0.000000000,0.000000000,0.000000000,0.015041221,0.007624282,0.075511698,0.018329258,-0.000128412,-0.001833789,0.004254297,-0.000680854,0.001061360,-0.218752549,0.255571068,2.262039575,-0.001864574,-0.002267521,0.019734377,0.999799914,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.263059309,0.000000000,4.207038403
1772714580.233254910,0.014864000,0.007614000,0.075532000,-0.003273420,0.006029620,0.025154390,0.999660030,-0.006242000,0.012220000,0.050277000,-0.000206663,0.000330031,0.000243745,0.001339970,0.007380936,0.000655699,0.009934898,-0.003366159,0.999653188,-0.002096512,-0.003459481,-0.002139131,0.000000000,0.000000000,0.000000000,0.000000000,0.015041673,0.007619416,0.075520816,0.018262941,-0.000201923,-0.001610743,0.004750128,0.000515819,-0.000002494,-0.218173770,0.255337270,2.259264997,-0.001859619,-0.002265336,0.019710187,0.999800403,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.261134393,0.000000000,4.207038403
