t,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx_vicon,wy_vicon,wz_vicon,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,motor_motor_m1,motor_motor_m2,motor_motor_m3,motor_motor_m4,est_stateEstimate_x,est_stateEstimate_y,est_stateEstimate_z,est_stateEstimate_vx,est_stateEstimate_vy,est_stateEstimate_vz,est_stateEstimate_ax,est_stateEstimate_ay,est_stateEstimate_az,att_stateEstimate_roll,att_stateEstimate_pitch,att_stateEstimate_yaw,att_stateEstimate_qx,att_stateEstimate_qy,att_stateEstimate_qz,att_stateEstimate_qw,sp_ctrltarget_x,sp_ctrltarget_y,sp_ctrltarget_z,sp_ctrltarget_yaw,pid_controller_roll,pid_controller_pitch,pid_controller_yaw,pid_controller_cmd_thrust,pwr_pm_vbat
1772715892.323137522,0.018817000,0.008664000,0.056262000,-0.002257070,0.008929470,0.048042370,0.998802830,-0.003651000,0.018055000,0.096093000,0.001409083,-0.001641454,-0.000339631,-0.004454865,0.016656000,-0.031760754,0.007027229,-0.003871198,0.997025448,0.002156663,-0.000847497,0.000857198,0.000000000,0.000000000,0.000000000,0.000000000,0.018997818,0.008661424,0.056240720,0.019230540,-0.000043726,-0.001086980,0.006502470,-0.000152343,-0.003659687,-0.215377347,-0.001160516,4.421724875,-0.001878511,-0.000062387,0.038577172,0.999252859,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.426420267,0.000000000,4.131790368
1772715892.333137512,0.018829000,0.008644000,0.056250000,-0.002233350,0.008941410,0.047949430,0.998807250,-0.003605000,0.018077000,0.095907000,-0.000151566,-0.000182431,-0.000587987,-0.006449139,-0.011280397,-0.004663303,0.007131848,-0.003996645,0.997513108,0.002052534,-0.000893016,0.001146940,0.000000000,0.000000000,0.000000000,0.000000000,0.018999970,0.008659004,0.056242641,0.019271669,-0.000021422,-0.001215599,0.007391695,-0.000000185,-0.001008496,-0.215135155,-0.000862261,4.422891106,-0.001876297,-0.000064925,0.038587336,0.999252498,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.428628882,0.000000000,4.131501572
1772715892.343137503,0.018810000,0.008645000,0.056251000,-0.002306340,0.009184570,0.047920500,0.998806260,-0.003728000,0.018569000,0.095847000,-0.000809811,0.000541894,-0.000566310,-0.004634515,-0.019347163,0.009776542,0.007104966,-0.004198899,0.997777453,0.001593808,-0.001107574,0.000846061,0.000000000,0.000000000,0.000000000,0.000000000,0.019000531,0.008658209,0.056241661,0.019285695,-0.000018070,-0.001258986,0.007244686,-0.000152606,-0.001064926,-0.214892962,-0.000564007,4.424057338,-0.001874084,-0.000067463,0.038597501,0.999252141,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.430130700,0.000000000,4.131212777
1772715892.353138447,0.018814000,0.008669000,0.056253000,-0.002300830,0.008557170,0.048081270,0.998804120,-0.003774000,0.017316000,0.096171000,-0.000811093,0.000709135,-0.000367601,-0.000523703,-0.013228609,0.014576338,0.007078081,-0.004401172,0.998041822,0.001135039,-0.001322151,0.000545153,0.000000000,0.000000000,0.000000000,0.000000000,0.019001091,0.008657414,0.056240681,0.019299722,-0.000014718,-0.001302378,0.007097663,-0.000305041,-0.001121361,-0.214650747,-0.000265724,4.425223681,-0.001871871,-0.000070002,0.038607666,0.999251783,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.431632662,0.000000000,4.130923953
1772715892.363138676,0.018808000,0.008680000,0.056239000,-0.002336100,0.008540210,0.048113100,0.998802650,-0.003845000,0.017286000,0.096234000,-0.000400855,0.000496908,-0.000084864,0.004350654,0.001390310,0.012742432,0.007051198,-0.004603430,0.998306173,0.000676303,-0.001536714,0.000244266,0.000000000,0.000000000,0.000000000,0.000000000,0.019001651,0.008656619,0.056239701,0.019313748,-0.000011366,-0.001345766,0.006950650,-0.000457466,-0.001177792,-0.214408548,0.000032538,4.426389940,-0.001869658,-0.000072540,0.038617831,0.999251425,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.433134516,0.000000000,4.130635151
1772715892.373138666,0.018793000,0.008658000,0.056233000,-0.002253790,0.009044550,0.048127750,0.998797700,-0.003632000,0.018285000,0.096264000,0.000175458,0.000082824,0.000188899,0.008467783,0.018827827,0.007292152,0.007024316,-0.004805684,0.998570517,0.000217578,-0.001751271,-0.000056613,0.000000000,0.000000000,0.000000000,0.000000000,0.019002211,0.008655823,0.056238721,0.019327773,-0.000008014,-0.001389154,0.006803641,-0.000609886,-0.001234222,-0.214166356,0.000330792,4.427556172,-0.001867445,-0.000075079,0.038627996,0.999251067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.434636334,0.000000000,4.130346355
1772715892.383138895,0.018811000,0.008670000,0.056249000,-0.002194550,0.008927640,0.048207400,0.998795040,-0.003524000,0.018046000,0.096424000,0.000475949,-0.000358317,0.000199913,0.008369364,0.025977774,0.004780455,0.006997433,-0.005007943,0.998834868,-0.000241159,-0.001965833,-0.000357500,0.000000000,0.000000000,0.000000000,0.000000000,0.019002771,0.008655028,0.056237741,0.019341799,-0.000004662,-0.001432543,0.006656628,-0.000762311,-0.001290653,-0.213853878,0.000751916,4.429541865,-0.001864577,-0.000078678,0.038645303,0.999250607,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.436138188,0.000000000,4.130057552
1772715892.393139124,0.018817000,0.008655000,0.056260000,-0.002151480,0.009193050,0.048142250,0.998795870,-0.003413000,0.018572000,0.096294000,0.000240976,-0.000465732,0.000049512,0.002696285,0.031637726,0.004224954,0.006636691,-0.004711140,0.999115746,0.000067988,-0.000461495,0.001109488,0.000000000,0.000000000,0.000000000,0.000000000,0.019003332,0.008654233,0.056236761,0.019355825,-0.000001310,-0.001475931,0.006509616,-0.000914735,-0.001347084,-0.213496248,0.001251975,4.432054027,-0.001861288,-0.000082959,0.038667199,0.999249638,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.437640042,0.000000000,4.129768749
1772715892.403139591,0.018819000,0.008649000,0.056243000,-0.002195510,0.009422140,0.048099280,0.998795710,-0.003480000,0.019034000,0.096207000,-0.000172952,-0.000195989,-0.000281494,-0.001949229,0.027298738,0.001164503,0.005828115,-0.003697149,0.999428117,0.001513562,0.003409123,0.004952584,0.000000000,0.000000000,0.000000000,0.000000000,0.019006085,0.008660642,0.056236402,0.019446886,-0.000005772,-0.001488752,0.006372968,-0.000177835,-0.000581947,-0.213390409,0.001264229,4.435604228,-0.001860358,-0.000083087,0.038698155,0.999248492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.439428421,0.000000000,4.129479940
1772715892.413139105,0.018821000,0.008671000,0.056250000,-0.002203990,0.009194520,0.048258790,0.998790110,-0.003516000,0.018581000,0.096527000,-0.000349246,0.000204186,-0.000324072,-0.007450479,0.020372077,-0.001107354,0.006894864,-0.003531094,1.000029062,0.003002465,0.000104686,-0.000941638,0.000000000,0.000000000,0.000000000,0.000000000,0.019002476,0.008658979,0.056231919,0.019448507,-0.000008339,-0.001516564,0.006564280,0.000592739,0.000053210,-0.213907426,0.000176107,4.441755314,-0.001865230,-0.000073874,0.038751811,0.999246295,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.443635623,0.000000000,4.129191158
